Rank	Title	Type	ISSN	SJR Quartile	SJR	H index	Total Docs. (2010)	Total Docs. (3years)	Total Refs.	Total Cites (3years)	Citable Docs. (3years)	Cites / Doc. (2years)	Ref. / Doc.	Country
1	Aging Cell	j	ISSN 14749726	Q1	3.92	88	103	259	5541	2059	245	7.41	53.8	United Kingdom
2	Ageing Research Reviews	j	ISSN 15681637	Q1	2.377	72	56	77	6601	685	77	9.86	117.88	Ireland
3	Neurobiology of Aging	j	ISSN 01974580	Q1	2.162	133	228	609	10910	3604	602	5.81	47.85	United States
4	Mechanisms of Ageing and Development	j	ISSN 18726216	Q1	1.866	87	92	291	5740	1454	283	5.07	62.39	Ireland
5	Psychology and Aging	j	ISSN 19391498	Q1	1.82	104	102	268	5379	1048	266	3.68	52.74	United States
6	Journals of Gerontology - Series A Biological Sciences and Medical Sciences	j	ISSN 10795006	Q1	1.503	134	182	596	7049	2613	529	4.67	38.73	United Kingdom
7	Aging	j	ISSN 00020966	Q1	1.346	44	146	109	5281	372	98	3.8	36.17	United States
8	Experimental Gerontology	j	ISSN 05315565	Q1	1.224	100	132	411	7605	1772	394	4.27	57.61	United States
9	Age and Ageing	j	ISSN 14682834	Q1	0.974	98	139	611	2790	1387	319	4.09	20.07	United Kingdom
10	Biogerontology	j	ISSN 15736768	Q2	0.792	50	63	176	3713	512	169	3.27	58.94	Netherlands
11	Rejuvenation Research	j	ISSN 15491684	Q2	0.715	37	124	287	4116	729	217	3.65	33.19	United States
12	Interdisciplinary Topics in Gerontology	j	ISSN 16623800	Q2	0.681	11	12	24	1141	74	22	1.08	95.08	Switzerland
13	Immunity and Ageing	j	ISSN 17424933	Q2	0.645	24	23	36	974	133	36	3.33	42.35	United Kingdom
14	Gerontology	j	ISSN 14230003	Q2	0.631	63	97	208	3328	501	196	2.52	34.31	Switzerland
15	Age	j	ISSN 15744647	Q2	0.611	28	47	83	2414	166	81	2.18	51.36	Netherlands
16	Experimental Aging Research	j	ISSN 10964657	Q2	0.575	35	26	78	1111	110	76	1.15	42.73	United Kingdom
17	International Journal of Aging and Human Development	j	ISSN 15413535	Q2	0.565	38	33	99	1669	151	99	1.18	50.58	United States
18	Annals of Human Biology	j	ISSN 14645033	Q3	0.553	44	68	186	2736	318	173	1.77	40.24	United Kingdom
19	Aging clinical and experimental research	j	ISSN 17208319	Q3	0.506	53	70	261	2170	474	246	1.94	31	Germany
20	Archives of Gerontology and Geriatrics	j	ISSN 01674943	Q3	0.487	44	197	437	5431	705	432	1.58	27.57	Ireland
21	International Journal of Cosmetic Science	j	ISSN 14682494	Q3	0.451	36	45	131	1752	255	125	2.23	38.93	United Kingdom
22	International Journal of Alzheimer's Disease	j	ISSN 20908024	Q3	0.437	20	53	1	3295	3	1	3	62.17	United States
23	Oxidative Medicine and Cellular Longevity	j	ISSN 19420994	Q3	0.316	27	54	56	3562	135	51	2.65	65.96	United States
24	Current Aging Science	j	ISSN 18746128	Q3	0.306	19	27	54	2326	74	51	1.45	86.15	United Arab Emirates
25	Frontiers in Aging Neuroscience	j	ISSN 16634365	Q3	0.305	22	48	4	4758	5	4	1.25	99.13	Switzerland
26	Revista Espanola de Geriatria y Gerontologia	j	ISSN 0211139X	Q4	0.17	12	96	292	1969	109	203	0.58	20.51	Spain
27	Neuroembryology and Aging	j	ISSN 16613414	Q4	0.136	7	0	39	0	13	38	0.17	0	Switzerland
28	Geriatrics and Aging	j	ISSN 14888416	Q4	0.113	7	0	265	0	29	219	0.09	0	Canada
29	Giornale di Gerontologia	j	ISSN 00170305	Q4	0.112	5	45	181	1283	11	154	0.05	28.51	Italy
30	Research and Practice in Alzheimer's Disease	k	ISSN 12848360	Q4	0.105	3	0	40	0	4	39	0	0	France
31	Annual Review of Gerontology and Geriatrics	k	ISSN 01988794	Q4	0.102	4	14	13	1507	1	13	0.08	107.64	United States
32	Hallym International Journal of Aging	j	ISSN 15414485	Q4	0.101	4	5	29	155	1	29	0.05	31	United States
33	Revista Multidisciplinar de Gerontologia	j	ISSN 11390921	Q4	0.1	6	25	85	475	2	71	0.05	19	Spain
