Rank	Title	Type	ISSN	SJR Quartile	SJR	H index	Total Docs. (2010)	Total Docs. (3years)	Total Refs.	Total Cites (3years)	Citable Docs. (3years)	Cites / Doc. (2years)	Ref. / Doc.	Country
1	Foundations and Trends in Machine Learning	j	ISSN 19358237	Q1	9.455	14	3	7	477	96	7	13.71	159	United States
2	Web Semantics	j	ISSN 15708268	Q1	6.342	54	39	88	1171	925	79	9.35	30.03	Netherlands
3	"IEEE Transactions on Systems, Man, and Cybernetics, Part B: Cybernetics"	j	ISSN 10834419	Q1	2.52	113	143	450	5171	2208	409	4.69	36.16	United States
4	"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW"	p			2.144	40	61	89	1407	254	86	2.95	23.07	United States
5	Knowledge and Information Systems	j	ISSN 02191377	Q1	1.99	37	80	177	3208	555	170	3.28	40.1	United Kingdom
6	User Modelling and User-Adapted Interaction	j	ISSN 15731391	Q1	1.936	48	13	47	984	234	45	6.21	75.69	Netherlands
7	Journal of the American Society for Information Science and Technology	j	ISSN 15322890	Q1	1.785	93	190	613	8521	1931	565	3.26	44.85	United States
8	ACM Transactions on Computer-Human Interaction	j	ISSN 15577325	Q1	1.767	46	18	60	956	246	56	4.31	53.11	United States
9	"IEEE Transactions on Systems, Man, and Cybernetics Part A:Systems and Humans."	j	ISSN 10834427	Q1	1.626	83	131	319	4430	1077	313	3.34	33.82	United States
10	IEEE Transactions on Human-Machine Systems	j	ISSN 21682291	Q1	1.559	76	65	244	2761	1088	234	4.41	42.48	United States
11	International Journal of Computer-Supported Collaborative Learning	j	ISSN 15561615	Q1	1.402	35	22	71	980	285	66	3.82	44.55	United States
12	Computers in Human Behavior	j	ISSN 07475632	Q1	1.287	82	211	532	11070	1973	521	3.41	52.46	United Kingdom
13	International Journal of Human Computer Studies	j	ISSN 10959300	Q1	1.279	82	59	214	3110	827	203	3.4	52.71	United States
14	Topics in Cognitive Science	j	ISSN 17568765	Q1	1.242	25	56	45	2816	122	35	3.49	50.29	United States
15	Computer Speech and Language	j	ISSN 10958363	Q1	1.23	45	42	87	1609	257	86	2.8	38.31	United States
16	"Cyberpsychology, Behavior, and Social Networking"	j	ISSN 21522723	Q1	1.188	81	101	382	2971	1122	375	2.53	29.42	United States
17	Foundations and Trends in Human-Computer Interaction	j	ISSN 15513963	Q1	1.159	10	4	11	593	48	11	1.86	148.25	United States
18	IET Control Theory and Applications	j	ISSN 17518652	Q1	1.121	72	232	469	6263	1287	461	2.27	27	United Kingdom
19	Interacting with Computers	j	ISSN 18737951	Q2	1.095	52	53	142	2487	413	133	2.55	46.92	Netherlands
20	Human-Computer Interaction	j	ISSN 15327051	Q2	1.021	53	11	33	613	101	31	2.15	55.73	United Kingdom
21	New Review of Information Networking	j	ISSN 17407869	Q2	0.972	9	8	23	202	16	20	1	25.25	United Kingdom
22	Science Technology and Human Values	j	ISSN 01622439	Q2	0.937	46	35	86	1684	210	80	2.58	48.11	United States
23	International Journal of Intelligent Systems	j	ISSN 1098111X	Q2	0.871	53	60	195	1652	366	185	1.89	27.53	United Kingdom
24	ACM Transactions on Accessible Computing	j	ISSN 19367228	Q2	0.841	12	13	27	572	50	24	2.08	44	United States
25	Conference on Human Factors in Computing Systems - Proceedings	p			0.806	78	682	1628	11612	2120	1613	1.19	17.03	United States
26	Games and Culture	j	ISSN 15554120	Q2	0.782	26	21	66	828	161	61	2.67	39.43	United States
27	"International Conference on Intelligent User Interfaces, Proceedings IUI"	p			0.762	40	131	214	1699	307	210	1.42	12.97	United States
28	Presence: Teleoperators and Virtual Environments	j	ISSN 15313263	Q2	0.725	65	45	118	1490	212	111	1.55	33.11	United States
29	Universal Access in the Information Society	j	ISSN 16155297	Q2	0.702	22	31	89	1323	152	81	1.46	42.68	Germany
