Rank	Title	Type	ISSN	SJR Quartile	SJR	H index	Total Docs. (2010)	Total Docs. (3years)	Total Refs.	Total Cites (3years)	Citable Docs. (3years)	Cites / Doc. (2years)	Ref. / Doc.	Country
1	Combinatorica	j	ISSN 14396912	Q1	2.561	35	38	122	726	154	119	1.04	19.11	Hungary
2	Journal of Combinatorial Theory. Series B	j	ISSN 10960902	Q1	2.462	41	57	215	928	251	213	1.11	16.28	United States
3	Journal of Computational and Graphical Statistics	j	ISSN 15372715	Q1	1.959	56	55	150	1486	212	147	1.43	27.02	United States
4	Journal of Combinatorial Designs	j	ISSN 10638539	Q1	1.425	24	34	121	569	79	117	0.75	16.74	United States
5	Constraints	j	ISSN 15729354	Q1	1.396	32	25	64	714	111	59	2.1	28.56	Netherlands
6	Discrete and Computational Geometry	j	ISSN 14320444	Q1	1.364	41	97	247	1951	242	238	0.87	20.11	United States
7	Journal of Algebraic Combinatorics	j	ISSN 15729192	Q1	1.328	25	51	158	902	144	156	0.81	17.69	Netherlands
8	Discrete and Continuous Dynamical Systems	j	ISSN 15535231	Q1	1.29	40	238	630	5831	573	618	1	24.5	United States
9	Journal of Combinatorial Theory - Series A	j	ISSN 10960899	Q1	1.245	31	119	299	1585	234	297	0.72	13.32	United States
10	Journal of Combinatorial Optimization	j	ISSN 15732886	Q1	1.039	32	65	175	1147	178	163	0.99	17.65	Netherlands
11	Discrete Mathematics	j	ISSN 0012365X	Q2	0.937	52	450	1797	6893	1151	1767	0.62	15.32	Netherlands
12	Discrete Applied Mathematics	j	ISSN 0166218X	Q2	0.926	57	229	925	4078	942	898	1	17.81	Netherlands
13	Graphs and Combinatorics	j	ISSN 14355914	Q2	0.84	23	84	187	1214	102	185	0.52	14.45	Japan
14	Linear Algebra and Its Applications	j	ISSN 00243795	Q2	0.839	59	446	1255	7539	1483	1232	1.15	16.9	United States
15	Journal of Discrete Algorithms	j	ISSN 15708667	Q2	0.83	21	36	166	771	167	157	0.93	21.42	Netherlands
16	Discrete and Continuous Dynamical Systems - Series S	j	ISSN 19371632	Q2	0.783	12	43	102	939	78	97	0.8	21.84	United States
17	Annals of Combinatorics	j	ISSN 02193094	Q2	0.69	14	42	85	566	46	85	0.5	13.48	Switzerland
18	Aequationes Mathematicae	j	ISSN 14208903	Q2	0.678	22	45	130	564	87	127	0.81	12.53	Switzerland
19	Discrete and Continuous Dynamical Systems - Series B	j	ISSN 1553524X	Q2	0.634	30	127	305	3369	289	297	0.91	26.53	United States
20	Australasian Journal of Combinatorics	j	ISSN 10344942	Q3	0.572	19	83	251	913	91	251	0.36	11	Australia
21	"Groups, Geometry, and Dynamics"	j	ISSN 16617215	Q3	0.542	7	42	22	963	13	22	0.59	22.93	Switzerland
22	Advances in Mathematics of Communications	j	ISSN 19305346	Q3	0.537	10	36	59	781	33	57	0.58	21.69	United States
23	Discrete Mathematics and Theoretical Computer Science	j	ISSN 13658050	Q3	0.507	14	49	78	1015	41	77	0.57	20.71	France
24	Discussiones Mathematicae - Graph Theory	j	ISSN 12343099	Q3	0.465	7	54	43	557	10	42	0.24	10.31	Poland
25	Journal of Inequalities and Applications	j	ISSN 1029242X	Q3	0.46	26	272	385	5282	328	384	0.82	19.42	United States
26	TOP	j	ISSN 18638279	Q3	0.426	10	23	67	513	28	47	0.6	22.3	Germany
27	Applicable Analysis and Discrete Mathematics	j	ISSN 14528630	Q3	0.425	13	27	114	433	80	112	0.68	16.04	Serbia
28	Inverse Problems and Imaging	j	ISSN 19308345	Q3	0.409	14	46	8	1145	11	8	1.38	24.89	United States
29	Electronic Notes in Discrete Mathematics	j	ISSN 15710653	Q4	0.385	14	167	493	1534	112	486	0.22	9.19	Netherlands
30	International Journal of Dynamical Systems and Differential Equations	j	ISSN 17523591	Q4	0.377	7	0	35	0	16	35	0.46	0	United Kingdom
31	Journal of Integer Sequences	j	ISSN 15307638	Q4	0.365	16	70	173	967	71	173	0.35	13.81	Canada
32	"Dynamics of Continuous, Discrete and Impulsive Systems Series A: Mathematical Analysis"	j	ISSN 12013390	Q4	0.311	17	57	162	1095	48	161	0.38	19.21	Canada
33	Journal of Algebra and Discrete Structures	j	ISSN 09725946	Q4	0.241	2	5	22	52	5	21	0.24	10.4	India
34	Lecture Notes in Computational Science and Engineering	k	ISSN 14397358	Q4	0.233	15	71	490	1256	91	462	0.19	17.69	Germany
35	"Dynamics of Continuous, Discrete and Impulsive Systems Series B: Applications and Algorithms"	j	ISSN 14928760	Q4	0.227	20	57	175	1407	54	172	0.29	24.68	Canada
36	Discrete Mathematics and Applications	j	ISSN 15693929	Q4	0.167	9	50	141	640	11	141	0.09	12.8	Germany
37	Qualitative Theory of Dynamical Systems	j	ISSN 16623592	Q4	0.101	12	14	44	303	2	41	0.05	21.64	United States
