Journal,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
IEEE Transactions on Pattern Analysis and Machine Intelligence,0.0,0.0,0.0,6.06,7.32,26.98,34.00,23.75,19.23,29.83,26.98,27.32,31.05,33.86,27.32,35.61,40.82,44.25,44.89
IEEE Transactions on Information Theory,0.0,0.0,0.0,25.93,33.58,14.43,36.88,32.40,30.42,30.40,32.49,30.85,39.71,40.37,42.42,36.13,41.27,42.60,45.37
IEEE Transactions on Image Processing,0.0,0.0,0.0,28.72,34.62,27.27,25.19,25.17,27.74,30.43,22.59,25.84,20.20,22.98,29.59,33.22,38.50,35.75,40.73
IEEE Journal on Selected Areas in Communications,0.0,0.0,0.0,31.29,20.00,29.52,31.68,28.76,25.60,29.19,34.14,41.48,67.25,40.40,44.68,41.11,43.66,51.38,47.42
IEEE Transactions on Signal Processing,0.0,0.0,0.0,17.48,11.74,32.01,35.89,25.43,27.68,26.87,29.40,22.87,31.64,31.36,29.32,31.96,33.22,33.87,39.29
IEEE Transactions on Communications,0.0,0.0,0.0,16.97,11.35,27.17,24.62,25.82,23.40,28.52,26.89,35.29,30.65,33.19,35.05,35.28,35.25,37.97,39.94
IEEE Communications Magazine,0.0,0.0,0.0,5.33,13.64,19.70,23.62,13.94,29.19,33.17,37.20,41.47,40.43,34.63,30.23,38.97,42.35,36.68,44.34
IEEE Transactions on Wireless Communications,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.92,32.05,31.48,38.24,46.48,66.24,33.61,37.26,39.13,40.31,39.61,43.01
IEEE/ACM Transactions on Networking,0.0,0.0,0.0,47.22,53.03,46.27,33.33,16.25,19.78,30.56,31.19,23.39,36.75,26.35,32.47,38.19,31.76,47.10,21.34
IEEE Transactions on Circuits and Systems for Video Technology,0.0,0.0,0.0,43.24,48.18,31.40,27.12,32.48,27.20,33.54,32.88,45.88,52.20,30.32,30.69,35.54,35.67,29.31,35.40
IEEE Transactions on Fuzzy Systems,0.0,0.0,0.0,42.47,45.71,25.00,38.89,27.50,29.87,38.03,23.29,29.52,21.32,38.26,37.11,37.89,40.86,44.68,33.33
IEEE Transactions on Evolutionary Computation,0.0,0.0,0.0,35.00,38.71,21.82,36.17,25.64,25.00,26.00,29.17,40.43,24.56,36.71,41.07,34.69,27.78,40.38,52.46
IEEE Transactions on Software Engineering,0.0,0.0,0.0,16.07,12.86,30.43,32.53,31.58,36.49,24.00,29.41,33.33,34.48,43.64,34.48,35.29,42.35,44.90,42.37
IEEE Transactions on Knowledge and Data Engineering,0.0,0.0,0.0,40.58,47.37,27.50,39.39,32.50,27.64,22.86,28.83,45.53,61.07,35.16,42.11,39.57,44.74,41.67,54.26
IEEE Wireless Communications,0.0,0.0,0.0,68.42,68.89,40.00,7.35,27.59,37.25,44.78,43.24,31.25,17.07,31.94,34.57,35.21,47.67,48.67,44.44
IEEE Communications Letters,0.0,0.0,0.0,16.35,23.66,29.81,28.73,13.33,14.10,13.37,17.18,24.11,15.92,22.09,20.00,21.02,23.25,26.78,26.11
IEEE Transactions on Mobile Computing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.25,3.23,13.64,34.75,55.56,83.78,31.67,31.54,34.09,39.47,34.72,41.40
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,0.0,0.0,0.0,6.83,10.30,31.09,25.00,18.47,18.83,28.13,27.63,34.90,64.56,24.48,21.93,32.73,25.73,29.48,27.54
IEEE Transactions on Robotics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.34,27.27,25.00,19.57,30.43,22.22,24.30,26.61,34.15,29.37
