Jounral Name,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ACM Transactions on Internet Technology,62.50,0.0,9.09,58.82,0.0,57.14,38.10,33.33,50.00,0.0,31.25,35.71,0.0,46.67,0.0,26.32,42.86
ACM Transactions on Sensor Networks,76.92,0.0,0.0,53.33,0.0,42.03,0.0,22.64,27.78,0.0,24.44,31.82,0.0,36.11,0.0,0.0,45.16
ACM Transactions on the Web,72.73,0.0,0.0,57.14,0.0,42.11,0.0,52.94,42.86,0.0,45.45,0.0,0.0,50.00,0.0,0.0,50.00
Acta Informatica,23.81,33.33,20.00,46.88,34.62,37.04,12.00,42.11,52.63,13.33,38.46,24.24,24.14,45.83,48.15,38.46,29.41
Ad Hoc Networks,13.89,0.0,11.11,34.63,0.0,27.59,22.73,15.87,34.58,0.0,12.96,18.82,0.0,25.44,0.0,28.57,31.63
Advances in Mathematics of Communications,0.0,0.0,0.0,35.71,0.0,26.47,0.0,41.67,40.00,0.0,40.63,0.0,0.0,43.75,0.0,0.0,46.88
Biomedical Instrumentation and Technology,8.84,2.38,2.78,0.00,1.41,1.50,2.44,2.23,0.61,0.00,3.85,7.69,2.75,0.64,1.52,5.03,1.75
BIT Numerical Mathematics,37.50,18.18,23.64,28.95,27.66,41.77,25.00,29.55,24.53,32.65,45.00,17.31,24.64,36.54,22.97,37.50,26.53
China Communications,0.0,0.0,0.0,17.58,0.0,8.61,0.0,3.65,8.23,0.0,7.94,0.0,0.0,9.41,0.0,0.0,16.84
Cluster Computing,11.54,0.0,0.0,26.50,0.0,33.62,0.0,25.00,36.36,0.0,26.67,24.32,0.0,44.83,0.0,17.65,28.00
Computer Communications,24.51,5.88,19.30,32.07,13.33,28.00,16.92,25.96,25.00,16.25,20.56,22.90,21.00,31.22,16.13,21.49,31.39
Computer Graphics Forum,24.68,10.98,20.29,35.85,4.11,40.07,22.22,29.48,28.57,14.86,31.36,23.17,16.00,30.14,7.50,23.33,33.88
Computer Networks,22.27,22.09,20.55,39.17,13.58,39.55,21.33,32.90,33.81,20.28,30.73,23.26,23.91,29.17,10.56,27.83,32.21
Computing and Informatics,23.33,16.13,19.35,28.21,35.29,24.24,30.56,20.37,18.18,46.88,24.49,13.89,27.59,23.19,50.00,17.24,23.33
Concurrency Computation Practice and Experience,21.09,13.04,20.45,24.93,9.09,25.71,18.29,26.28,28.03,13.75,28.13,17.45,25.40,25.75,21.31,17.24,33.73
Cryptography and Communications,0.0,0.0,0.0,20.00,0.0,36.67,0.0,28.57,15.00,0.0,0.0,0.0,0.0,6.25,0.0,0.0,53.33
Data Mining and Knowledge Discovery,17.65,20.00,40.00,51.02,16.67,40.85,30.43,33.33,24.24,18.75,23.53,26.67,22.22,25.53,14.29,43.33,31.25
Distributed Computing,46.43,31.25,27.27,59.38,33.33,58.33,21.74,33.33,51.85,31.58,47.06,41.67,20.00,57.14,15.00,40.00,61.90
Electronic Commerce Research and Applications,27.78,0.0,20.69,33.33,0.0,21.05,25.81,32.76,33.33,0.0,38.89,23.53,20.00,29.63,0.0,13.33,38.10
Eurasip Journal on Wireless Communications and Networking,27.61,0.0,0.0,31.13,0.0,25.60,25.64,33.44,35.71,0.0,32.64,26.52,0.0,31.25,0.0,38.04,24.74
First Monday,18.75,12.12,5.26,14.43,14.29,17.20,10.99,11.94,13.51,10.13,8.11,12.50,5.63,17.11,7.81,17.34,7.53
Foundations and Trends in Communications and Information Theory,50.00,0.0,0.0,0.00,0.0,0.00,0.00,0.00,33.33,0.0,50.00,50.00,0.0,50.00,0.0,40.00,66.67
Foundations and Trends in Networking,0.00,0.0,0.0,0.00,0.0,0.00,0.0,33.33,33.33,0.0,20.00,50.00,0.0,50.00,0.0,0.0,0.00
Future Generation Computer Systems,25.61,20.45,16.38,28.74,16.67,34.59,29.32,29.05,29.27,24.32,29.81,20.75,21.43,30.41,22.34,31.13,29.79
IEEE Communications Magazine,42.22,5.33,29.19,48.20,13.64,44.30,33.17,30.23,38.97,23.62,34.63,41.47,13.94,42.35,19.70,37.20,36.68
IEEE Intelligent Systems,32.22,17.28,22.78,37.70,20.63,31.43,31.11,33.73,32.39,13.10,31.17,23.16,17.58,18.57,12.94,31.44,36.25
IEEE Internet Computing,25.53,7.94,12.66,23.17,1.89,22.50,16.87,19.19,18.27,8.24,36.49,17.20,9.47,23.16,7.32,15.79,19.78
IEEE Journal on Selected Areas in Communications,70.06,31.29,25.60,53.88,20.00,47.42,29.19,44.68,41.11,31.68,40.40,41.48,28.76,43.66,29.52,34.14,52.27
IEEE Network,35.85,2.50,21.74,52.94,11.11,51.39,34.15,40.82,62.50,13.16,38.10,41.67,18.37,45.45,24.39,25.00,49.25
IEEE Security and Privacy,8.00,0.0,12.73,17.28,0.0,12.00,20.59,7.41,4.63,0.0,7.21,7.84,0.0,6.19,0.0,16.67,6.36
IEEE Transactions on Human-Machine Systems,40.63,12.00,21.57,26.61,0.00,17.14,25.81,32.31,34.15,30.19,24.56,23.97,29.41,33.97,19.64,29.41,25.00
IEEE Transactions on Information Forensics and Security,62.86,0.0,0.0,40.39,0.0,41.30,0.0,31.76,33.61,0.0,32.14,45.71,0.0,30.00,0.0,0.0,40.23
IEEE Transactions on Mobile Computing,83.64,0.0,3.23,44.38,0.0,41.40,13.64,31.54,34.09,0.0,31.67,55.56,31.25,39.47,0.0,34.75,34.72
IEEE Transactions on Network and Service Management,40.00,0.0,0.0,56.25,0.0,58.97,0.0,31.25,38.71,0.0,50.00,0.0,0.0,42.11,0.0,0.0,33.33
IEEE Transactions on Neural Networks and Learning Systems,30.48,45.00,24.09,26.63,44.44,23.14,30.32,32.57,34.27,31.33,36.59,28.57,19.73,33.33,24.18,29.11,38.59
IEEE Transactions on Services Computing,0.0,0.0,0.0,50.82,0.0,41.07,0.0,58.62,26.67,0.0,37.93,0.0,0.0,44.44,0.0,0.0,47.83
IEEE Transactions on Vehicular Technology,34.38,8.76,25.97,42.00,9.44,45.39,24.62,34.51,40.09,27.54,29.55,31.72,16.25,37.44,32.24,32.26,36.90
IEICE Transactions on Communications,6.68,5.41,9.50,15.13,5.54,13.87,29.70,9.80,11.73,7.85,8.21,8.73,6.76,9.39,11.28,22.93,13.04
IET Information Security,37.50,0.0,0.0,21.74,0.0,23.68,0.0,25.00,19.23,0.0,35.71,0.0,0.0,20.51,0.0,0.0,32.56
Information Security Technical Report,15.15,0.00,11.43,0,3.85,0,25.00,8.00,33.33,7.41,9.09,9.68,12.50,16.67,0.00,3.45,29.41
Information Systems Frontiers,33.33,0.0,15.38,40.17,9.68,40.45,34.62,38.46,30.19,11.11,28.00,30.00,15.15,32.00,23.53,36.36,28.81
Information Systems Journal,21.88,12.50,15.00,38.00,12.50,23.08,22.73,37.04,33.33,19.05,31.03,25.00,19.05,25.00,23.08,16.67,25.00
Information Systems Research,17.24,27.27,31.82,56.25,8.33,41.18,15.38,35.09,47.06,6.90,50.00,14.81,22.73,32.89,0.00,25.93,42.86
International Journal for Multiscale Computational Engineering,24.32,0.0,0.0,19.35,0.0,12.50,0.0,20.59,18.75,0.0,22.22,28.95,0.0,27.91,0.0,0.0,23.08
International Journal of Ad Hoc and Ubiquitous Computing,19.05,0.0,0.0,35.85,0.0,28.99,0.0,8.11,14.29,0.0,32.43,29.41,0.0,27.87,0.0,0.0,19.72
International Journal of Applied Cryptography,0.0,0.0,0.0,0,0.0,0.00,0.0,30.77,0,0.0,33.33,0.0,0.0,33.33,0.0,0.0,0.00
International Journal of Business Data Communications and Networking,0.0,0.0,0.0,0.00,0.0,0.00,0.0,31.82,10.00,0.0,23.53,0.0,0.0,16.67,0.0,0.0,23.81
International Journal of Communication Networks and Distributed Systems,0.0,0.0,0.0,21.05,0.0,16.67,0.0,24.00,25.00,0.0,17.31,0.0,0.0,32.35,0.0,0.0,12.96
International Journal of Communication Networks and Information Security,0.0,0.0,0.0,9.09,0.0,20.83,0.0,8.82,26.92,0.0,0.0,0.0,0.0,30.00,0.0,0.0,19.05
International Journal of Communication Systems,15.49,28.57,17.86,12.75,38.46,20.38,27.27,23.33,24.76,24.53,20.24,16.67,15.79,24.07,14.75,29.69,20.00
