cancer cell,0,0
nature reviews cancer,0,0
journal of clinical oncology,0,0
plos genetics,0,0
biochimica et biophysica acta - reviews on cancer,0,0
cell host and microbe,0,0
cancer and metastasis reviews,0,0
journal of the national cancer institute,0,0
cancer research,0,0
drug resistance updates,0,0
oncogene,0,0
clinical cancer research,0,0
leukemia,0,0
seminars in cancer biology,0,0
breast cancer research,0,0
angiogenesis,0,0
neoplasia,0,0
molecular cancer research,0,0
oncologist,0,0
advances in cancer research,0,0
molecular cancer therapeutics,0,0
cancer,0,0
international journal of radiation oncology biology physics,0,0
carcinogenesis,0,0
international journal of cancer,0,0
genes chromosomes and cancer,0,0
british journal of cancer,0,0
molecular oncology,0,0
epigenetics,0,0
journal of mammary gland biology and neoplasia,0,0
breast cancer research and treatment,0,0
current cancer drug targets,0,0
clinical and experimental metastasis,0,0
european journal of cancer,0,0
neuro-oncology,0,0
apoptosis  an international journal on programmed cell death,0,0
cancer science,0,0
epigenomics,0,0
molecular cancer,0,0
seminars in radiation oncology,0,0
cancer letters,0,0
endocrine-related cancer,0,0
cancer prevention research,0,0
cellular oncology,0,0
stem cell reviews and reports,0,0
cancer immunology and immunotherapy,0,0
journal of immunotherapy,0,0
molecular carcinogenesis,0,0
differentiation,0,0
experimental hematology,0,0
journal of the national cancer institute monographs,0,0
current opinion in oncology,0,0
bmc cancer,0,0
cancer causes and control,0,0
cancer immunity,0,0
lung cancer,0,0
oncology,0,0
current medicinal chemistry - anti-cancer agents,0,0
cancer gene therapy,0,0
environmental carcinogenesis and ecotoxicology reviews,0,0
cancer microenvironment,0,0
cancer journal,0,0
cancer biology and therapy,0,0
international journal of oncology,0,0
virus research,0,0
cancer chemotherapy and pharmacology,0,0
journal of neuro-oncology,0,0
gastric cancer,0,0
oral oncology,0,0
nuclear medicine and biology,0,0
recent patents on anti-cancer drug discovery,0,0
journal of cancer research and clinical oncology,0,0
clinical breast cancer,0,0
advances in biological regulation,0,0
cancer cytopathology,0,0
international journal of hyperthermia,0,0
molecular imaging and biology,0,0
cancer cell international,0,0
prostate cancer and prostatic diseases,0,0
nitric oxide - biology and chemistry,0,0
cancer investigation,0,0
melanoma research,0,0
journal of carcinogenesis,0,0
clinical lung cancer,0,0
translational oncology,0,0
journal of hematology and oncology,0,0
future oncology,0,0
anti-cancer drugs,0,0
european journal of cancer prevention,0,0
american journal of clinical oncology,0,0
leukemia and lymphoma,0,0
familial cancer,0,0
tumor biology,0,0
nutrition and cancer,0,0
hematological oncology,0,0
cytotherapy,0,0
journal of experimental and clinical cancer research,0,0
current problems in cancer,0,0
japanese journal of clinical oncology,0,0
cancer epidemiology,0,0
oncology reports,0,0
leukemia research,0,0
cancer genetics and cytogenetics,0,0
cancer genomics and proteomics,0,0
pathology oncology research,0,0
anticancer research,0,0
journal of experimental therapeutics and oncology,0,0
cancer biotherapy and radiopharmaceuticals,0,0
journal of oral pathology and medicine,0,0
journal of biological regulators and homeostatic agents,0,0
clinical lymphoma myeloma and leukemia,0,0
infectious agents and cancer,0,0
technology in cancer research and treatment,0,0
targeted oncology,0,0
neoplasma,0,0
cancer biomarkers,0,0
cancer informatics,0,0
medical oncology,0,0
american journal of translational research,0,0
brain tumor pathology,0,0
recent results in cancer research,0,0
international journal of biological markers,0,0
oncology research,0,0
clinical and translational oncology,0,0
critical reviews in oncogenesis,0,0
breast disease,0,0
update on cancer therapeutics,0,0
oncology,0,0
supportive cancer therapy,0,0
iarc monographs on the evaluation of carcinogenic risks to humans,0,0
tumori,0,0
oncology research and treatment,0,0
eksperimentalnaya onkologiya,0,0
human cell,0,0
asian pacific journal of cancer prevention,0,0
progress in experimental tumor research,0,0
bulletin du cancer,0,0
cancer treatment and research,0,0
journal of cancer molecules,0,0
journal of buon,0,0
cancer therapy,0,0
international journal of cancer research,0,0
european journal of cancer supplement,0,0
oncology reviews,0,0
molecular medicine reports,0,0
translational oncogenomics,0,0
current hematologic malignancy reports,0,0
breast cancer basic and clinical research,0,0
journal of the egyptian national cancer institute,0,0
current cancer therapy reviews,0,0
reports of practical oncology and radiotherapy,0,0
iranian journal of cancer prevention,0,0
journal of breast cancer,0,0
open clinical cancer journal,0,0
clinical and experimental medical letters,0,0
cancer forum,0,0
chinese journal of cancer research,0,0
japanese journal of cancer and chemotherapy,0,0
advances in gastrointestinal cancers,0,0
open cancer journal,0,0
journal of cell and molecular biology,0,0
advances in breast cancer,0,0
chinese journal of lung cancer,0,0
voprosy onkologii,0,0
nowotwory,0,0
gaceta mexicana de oncologia,0,0
biotherapy,0,0
breast cancer online,0,0
tumor research,0,0
onkologia polska,0,0
chinese journal of cancer biotherapy,0,0
tumor,0,0
turkish journal of cancer,0,0
chinese journal of clinical oncology,0,0
ecancermedicalscience,0,0
journal of leukemia and lymphoma,0,0
journal of dalian medical university,0,0
annals of cancer research and therapy,0,0
journal of practical oncology,0,0
