physiological reviews,0,0
nature reviews molecular cell biology,0,0
annual review of plant biology,0,0
molecular cell,0,0
annual review of genomics and human genetics,0,0
nature reviews genetics,0,0
nature structural and molecular biology,0,0
cell metabolism,0,0
trends in biochemical sciences,0,0
microbiology and molecular biology reviews,0,0
critical reviews in biochemistry and molecular biology,0,0
epigenetics and chromatin,0,0
embo journal,0,0
nature methods,0,0
current opinion in structural biology,0,0
plos genetics,0,0
cell host and microbe,0,0
molecular psychiatry,0,0
development,0,0
nature chemical biology,0,0
molecular biology and evolution,0,0
trends in molecular medicine,0,0
molecular and cellular biology,0,0
cell death and differentiation,0,0
molecular biology of the cell,0,0
human molecular genetics,0,0
oncogene,0,0
rna,0,0
structure,0,0
plos pathogens,0,0
traffic,0,0
cell research,0,0
embo reports,0,0
autophagy,0,0
science signaling,0,0
cellular and molecular life sciences,0,0
journal of biological chemistry,0,0
dna repair,0,0
bioinformatics,0.997963340122,6877
molecular and cellular proteomics,0,0
molecular aspects of medicine,0,0
molecular microbiology,0,0
plos computational biology,0,0
international review of cell and molecular biology,0,0
briefings in bioinformatics,0,11
cell division,0,0
faseb journal,0,0
developmental biology,0,0
biochemical journal,0,0
journal of molecular biology,0,0
biochimica et biophysica acta - molecular cell research,0,0
cell cycle,0,0
antioxidants and redox signaling,0,0
molecular cancer research,0,0
molecular therapy,0,0
molecular endocrinology,0,0
expert reviews in molecular medicine,0,0
cold spring harbor symposia on quantitative biology,0,0
ageing research reviews,0,0
chemistry and biology,0,0
molecular and cellular neurosciences,0,0
molecular brain,0,0
molecular plant,0,0
biochimica et biophysica acta - molecular basis of disease,0,0
journal of molecular and cellular cardiology,0,0
biochimica et biophysica acta - gene regulatory mechanisms,0,0
journal of bacteriology,0,0
current opinion in lipidology,0,0
molecular neurodegeneration,0,0
current molecular medicine,0,0
journal of investigative dermatology,0,0
dna research,0,0
biochimica et biophysica acta - molecular and cell biology of lipids,0,0
methods,0,0
epigenetics,0,0
laboratory investigation,0,0
american journal of respiratory cell and molecular biology,0,0
cell calcium,0,0
molecular medicine,0,0
cell communication and signaling,0,0
cell structure and function,0,0
febs letters,0,0
eukaryotic cell,0,0
frontiers in molecular neuroscience,0,0
molecular phylogenetics and evolution,0,0
mutation research - fundamental and molecular mechanisms of mutagenesis,0,0
histochemistry and cell biology,0,0
chembiochem  a european journal of chemical biology,0,0
biochemistry and cell biology,0,0
rna biology,0,0
acta biomaterialia,0,0
bmc systems biology,0,0
physical biology,0,0
biochimica et biophysica acta - general subjects,0,0
proteins structure function and genetics,0,0
bmc molecular biology,0,0
molecular biosystems,0,0
bmc bioinformatics,0,0
insect biochemistry and molecular biology,0,0
mitochondrion,0,0
journal of cellular biochemistry,0,0
immunome research,0,0
protein science,0,0
biological chemistry,0,0
genome medicine,0,0
bmc biochemistry,0,0
progress in biophysics and molecular biology,0,0
briefings in functional genomics and proteomics,0,0
molecular carcinogenesis,0,0
differentiation,0,0
current gene therapy,0,0
human gene therapy,0,0
gene therapy,0,0
molecular plant pathology,0,0
molecular and cellular endocrinology,0,0
febs journal,0,0
molecular membrane biology,0,0
iubmb life,0,0
experimental hematology,0,0
zoologica scripta,0,0
protein engineering design and selection,0,0
critical reviews in eukaryotic gene expression,0,0
current protein and peptide science,0,0
molecular and biochemical parasitology,0,0
molecular human reproduction,0,0
gene expression patterns,0,0
journal of experimental biology,0,0
proteomics,0,0
journal of molecular endocrinology,0,0
matrix biology,0,0
algorithms for molecular biology,0,0
experimental gerontology,0,0
pharmacogenetics and genomics,0,0
journal of nutritional biochemistry,0,0
journal of molecular evolution,0,0
genome dynamics,0,0
molecular immunology,0,0
international journal of biological sciences,0,0
biomedical microdevices,0,0
archives of biochemistry and biophysics,0,0
molecular genetics and metabolism,0,0
molecular genetics and genomics,0,0
cytokine,0,0
experimental dermatology,0,0
biochemical and biophysical research communications,0,0
methods in enzymology,0,0
brain research,0,0
infection genetics and evolution,0,0
biomicrofluidics,0,0
research in microbiology,0,0
journal of biological engineering,0,0
current opinion in molecular therapeutics,0,0
nuclear receptor,0,0
cancer gene therapy,0,0
current issues in molecular biology,0,0
human genomics,0,0
purinergic signalling,0,0
journal of cell communication and signaling,0,0
journal of molecular signaling,0,0
tree genetics and genomes,0,0
nucleic acid therapeutics,0,0
phytochemistry,0,0
experimental and molecular medicine,0,0
journal of heredity,0,0
journal of dermatological science,0,0
experimental and molecular pathology,0,0
insect molecular biology,0,0
mycorrhiza,0,0
molecular breeding,0,0
molecules and cells,0,0
biochimica et biophysica acta - proteins and proteomics,0,0
journal of biochemistry,0,0
journal of computational biology,0,0
bioorganic and medicinal chemistry,0,0
advances in biological regulation,0,0
journal of molecular microbiology and biotechnology,0,0
bioorganic and medicinal chemistry letters,0,0
progress in molecular biology and translational science,0,0
