web semantics,0,0
ieee journal on selected areas in communications,0.962058438727,4844
foundations and trends in networking,0,0
ieee communications magazine,0.925213675214,6550
ieeeacm transactions on networking,0,0
foundations and trends in communications and information theory,0.996226415094,34
ieee transactions on mobile computing,0.987378803076,1522
information systems research,0.941471048513,690
acm transactions on the web,0,0
journal of computer-mediated communication,1.0,41
acm transactions on sensor networks,0,0
journal of computer and system sciences,0.9800678166,2135
ieee network,0,0
proceedings of the acm conference on electronic commerce,0,0
proceedings of the acm conference on computer supported cooperative work cscw,0,0
ieee transactions on information forensics and security,0.975972307066,903
ieee internet computing,0.967783057133,1931
ieee intelligent systems,0.976602821424,1531
computer graphics forum,0.99916928189,786
data mining and knowledge discovery,0.982346666667,586
proceedings of the annual international conference on mobile computing and networking mobicom,0,0
ad hoc networks,0.991103202847,1034
computer communication review,0,0
journal of heuristics,0.980646219452,605
acm transactions on internet technology,0,0
journal of the american society for information science and technology,0.937456445993,2328
world wide web,0.977964056646,523
proceedings - real-time systems symposium,0,0
proceedings of the acm conference on computer and communications security,0,0
ieee transactions on neural networks and learning systems,0,0
distributed computing,0.987379361544,310
networks,0.982614742698,558
information systems journal,0.977064220183,34
ieee transactions on services computing,1.0,245
ieee transactions on human-machine systems,0,0
internet and higher education,0,0
ieee transactions on vehicular technology,0,0
future generation computer systems,0.957784757959,1892
real-time systems,0.94140506406,632
semantic web and information systems,0,0
proceedings of the annual acm symposium on principles of distributed computing,0,0
wireless networks,0.979446522064,1508
proceedings of the international symposium on mobile ad hoc networking and computing mobihoc,0,0
computer networks,1.0,13
performance evaluation,0.973904606271,1471
journal of grid computing,0.981119791667,180
bit numerical mathematics,0,0
international journal of information security,0.996721848877,370
information systems frontiers,0.973195661243,785
journal of computer security,0.986361361361,346
acm transactions on multimedia computing communications and applications,0,0
acta informatica,0.968344802608,1585
operating systems review acm,0,0
journal of parallel and distributed computing,0.985360163313,2753
new review of information networking,0,0
problems of information transmission,0.941389529141,534
electronic commerce research and applications,0.980883563523,522
proceedings of the international conference on dependable systems and networks,0,0
parallel computing,0.98711473044,1595
journal of optical networking,0,0
web intelligence and agent systems,0.976721050537,331
international journal for multiscale computational engineering,0,0
cluster computing,0.989331546668,788
ieee security and privacy,0.962643678161,1376
proceedings of the international workshop on network and operating system support for digital audio and video,0,0
concurrency computation practice and experience,0,0
computer communications,0.983952117457,6243
mobile networks and applications,0.992543406085,961
eurasip journal on wireless communications and networking,0.995851946394,545
iet information security,0,0
universal access in the information society,0.973977695167,432
multimedia tools and applications,0.984454790019,2330
international journal of ad hoc and ubiquitous computing,0.983949631994,477
networks and spatial economics,0,0
journal of optical communications and networking,0,0
journal of computer information systems,0,0
wireless communications and mobile computing,0,0
ieee transactions on network and service management,1.0,123
international journal of sensor networks,0.973280690478,457
multimedia systems,0.988306145121,748
journal of intelligent information systems,0.995094395719,622
international journal of information management,0,0
journal of the franklin institute,0,11
international journal of web services research,0.996015936255,93
computer languages systems and structures,0.992830970209,233
journal of network and computer applications,0.981786919697,1225
neural processing letters,0.980708715283,891
telematics and informatics,0.969909502262,611
advances in mathematics of communications,0,0
international journal of wireless information networks,0,0
international journal of telemedicine and applications,0.987632508834,85
international journal of neural systems,0,9
international journal of network security,0,0
first monday,0,0
international journal of mobile communications,0.870453452972,503
conference record - international conference on communications,0,0
cryptography and communications,0.994828396803,112
proceedings of the ieee international conference on engineering of complex computer systems iceccs,0,0
international journal of applied cryptography,0.997249508841,72
