annals of mathematics,0,0
annals of statistics,0,0
probability surveys,0,0
journal of the royal statistical society series b statistical methodology,0,0
biometrika,0,0
journal of the american statistical association,0,0
vital and health statistics series 13 data from the national health survey,0,0
journal of business and economic statistics,0,0
bioinformatics,0.997963340122,6877
journal of machine learning research,0,0
biostatistics,0,1
probability theory and related fields,0,0
finance and stochastics,0,0
annals of probability,0,0
journal of informetrics,0,0
statistical science,0,0
statistics and computing,0.948204598295,876
combinatorics probability and computing,0.96441827723,915
journal of computational and graphical statistics,0,0
biometrics,0,1
electronic journal of probability,0,0
statistics in medicine,0,0
journal of statistical software,0,0
annals of applied probability,0,0
journal of mathematical imaging and vision,0.971376230822,1072
multivariate behavioral research,0,0
statistics surveys,0,0
journal of the royal statistical society series a statistics in society,0,0
annals of applied statistics,0,0
vital and health statistics series 10 data from the national health survey,0,0
physical review e - statistical nonlinear and soft matter physics,0,0
stochastic processes and their applications,0,0
technometrics,0,457
bernoulli,0,0
annales de linstitut henri poincare b probability and statistics,0,0
statistica sinica,0,0
journal of multivariate analysis,0.828858196792,3106
scandinavian journal of statistics,0,0
computational statistics and data analysis,0,0
insurance mathematics and economics,0,0
statistical methods in medical research,0,0
international journal of game theory,1.0,335
north american actuarial journal,0,0
test,0,1
journal of complexity,0.89584078179,1116
electronic communications in probability,0,0
set-valued and variational analysis,0,0
annals of the institute of statistical mathematics,0,0
networks and heterogeneous media,0,0
pharmaceutical statistics,0,0
journal of statistical planning and inference,0,0
journal of applied probability,0,0
communications in analysis and geometry,0,0
oxford bulletin of economics and statistics,0,0
journal of biopharmaceutical statistics,0,0
journal of physics a mathematical and theoretical,0,0
journal of theoretical biology,0,0
bayesian analysis,0,0
probability in the engineering and informational sciences,0.945139066088,562
international journal of biostatistics,0,0
extremes,0,0
american statistician,0,0
australian and new zealand journal of statistics,0,0
british journal of mathematical and statistical psychology,0,0
advances in applied probability,0,0
physica a statistical mechanics and its applications,0,0
canadian journal of statistics,0,0
statistical applications in genetics and molecular biology,0,0
biometrical journal,0,0
international statistical review,0,0
metrika,0,0
journal of theoretical probability,0,0
journal of time series analysis,0,0
infinite dimensional analysis quantum probability and related topics,0,0
journal of nonparametric statistics,0,0
esaim - probability and statistics,0,0
stochastics,0,0
environmental and ecological statistics,0,0
mathematical biosciences,0,0
methodology and computing in applied probability,0,6
environmetrics,0,0
scandinavian actuarial journal,0,0
journal of statistical computation and simulation,0,53
journal of the royal statistical society series c applied statistics,0,0
journal of agricultural biological and environmental statistics,0,0
stochastic analysis and applications,0,0
communications in statistics - theory and methods,0,0
statistics and probability letters,0,0
open systems and information dynamics,0,0
stochastic models,0,0
statistical modelling,0,0
transactions on data privacy,0.994457274827,89
mathematical physics electronic journal,0,0
asta advances in statistical analysis,0,0
eurasip journal on bioinformatics and systems biology,0.994701986755,61
mathematical methods of statistics,0,0
empirical economics,0,0
computational statistics,0.969085173502,496
sequential analysis,0,0
quality and quantity,0,0
communications in statistics part b simulation and computation,0,0
theory in biosciences,0,0
mathematics and financial economics,0,0
utilitas mathematica,0,24
vital and health statistics series 2 data evaluation and methods research,0,0
r journal,0,0
bio systems,0,0
measurement journal of the international measurement confederation,0,0
journal of intelligent and fuzzy systems,0,0
statistics,0,1
top,0,0
statistical methods and applications,0,0
statistical papers,0,0
statistical inference for stochastic processes,0,0
survey methodology,0,0
journal of statistical mechanics theory and experiment,0,0
journal of official statistics,0,0
theory of probability and its applications,0,0
metron,0,0
psicologica,0,0
statistical methodology,0,0
sort,0,0
journal of applied statistics,0,0
journal of applied mathematics and stochastic analysis,0,0
monte carlo methods and applications,0,0
journal of the korean statistical society,0,0
journal of mathematics and statistics,0,0
statistica neerlandica,0,0
journal of mathematical sciences,0,0
journal of statistics education,0,0
journal of applied mathematics and decision sciences,1.0,2
model assisted statistics and applications,0,0
pakistan journal of statistics,0,0
economie et statistique,0,0
significance,0,0
vital and health statistics ser 1 programs and collection procedures,0,0
sankhya the indian journal of statistics,0,0
handbook of statistics,0,0
random operators and stochastic equations,0,0
journal of probability and statistics,0,0
risk and decision analysis,0,0
journal of modern applied statistical methods,0,0
zeitschrift fur evaluation,0,0
hacettepe journal of mathematics and statistics,0,0
revista colombiana de estadistica,0,0
wiley interdisciplinary reviews computational statistics,0,0
international journal of agricultural and statistical sciences,0,0
statistics in biosciences,0,0
south african statistical journal,0,0
journal of applied statistical science,0,0
electronic journal of applied statistical analysis,0,0
asta wirtschafts- und sozialstatistisches archiv,0,0
