journal of applied psychology,0,0
personnel psychology,0,0
psychological medicine,0,0
journal of occupational health psychology,0,0
organizational behavior and human decision processes,0,0
work and stress,0,0
health psychology,0,0
leadership quarterly,0,0
psychotherapy and psychosomatics,0,0
accounting organizations and society,0,0
journal of consumer psychology,0,0
psychosomatic medicine,0,0
journal of organizational behavior,0,0
journal of managerial psychology,0,0
group and organization management,0,0
journal of vocational behavior,0,0
journal of sport and exercise psychology,0,0
journal of educational measurement,0,0
media psychology,0,0
psychology and marketing,0,0
human resource management review,0,0
journal of economic psychology,0,0
european journal of work and organizational psychology,0,0
journal of career assessment,0,0
cyberpsychology behavior and social networking,0,0
trauma violence and abuse,0,0
transportation research part f traffic psychology and behaviour,0,0
psychology of men and masculinity,0,0
psychology of sport and exercise,0,0
journal of environmental psychology,0,0
assessment,0,0
human-computer interaction,0.968233419638,611
sport psychologist,0,0
american journal of community psychology,0,0
journal of occupational and organizational psychology,0,0
body image,0,0
technological forecasting and social change,0,0
measurement and evaluation in counseling and development,0,0
european journal of psychological assessment,0,0
international journal of stress management,0,0
theory and decision,0,0
journal of black psychology the,0,0
journal of interpersonal violence,0,0
legal and criminological psychology,0,0
journal of behavioral decision making,0,0
group dynamics,0,0
journal of business and psychology,0,0
journal of positive behavior interventions,0,0
international journal of selection and assessment,0,0
human resource management,0,1
games and culture,0,0
journal of media psychology,0,0
applied psychology,0,0
journal of health psychology,0,0
journal of applied sport psychology,0,0
british journal of health psychology,0,0
judgment and decision making,0,0
human performance,0,0
small group research,0,0
journal of criminal justice,0,0
journal of applied behavioral science the,0,0
basic and applied social psychology,0,0
psychosomatics,0,0
applied developmental science,0,0
psychological services,0,0
counseling psychologist,0,0
international journal of offender therapy and comparative criminology,0,0
neuropsychological rehabilitation,0,0
journal of career development,0,0
journal of applied behavior analysis,0,0
human factors,0,219
psychology and health,0,0
international review of sport and exercise psychology,0,0
journal of counseling and development,0,0
career development quarterly,0,0
international journal of behavioral medicine,0,0
scandinavian journal of management,0,0
personnel review,0,0
rehabilitation counseling bulletin,0,0
journal of psychosocial oncology,0,0
psychology of religion and spirituality,0,0
journal of mathematical behavior,0,0
psychology of aesthetics creativity and the arts,0,0
victims and offenders,0,0
applied psychophysiology biofeedback,0,0
international journal of sport psychology,0,0
organizational dynamics,0,0
revue europeene de psychologie appliquee,0,0
psychology health and medicine,0,0
philosophical psychology,0,0
journal of multicultural counseling and development,0,0
zeitschrift fur psychosomatische medizin und psychotherapie,0,0
journal of forensic psychology practice,0,0
journal of applied school psychology,0,0
behavioral medicine,0,0
journal of lgbt issues in counseling,0,0
travail humain,0,0
journal of employment counseling,0,0
british journal of guidance and counselling,0,0
applied and preventive psychology,0,0
occupational therapy in mental health,0,0
journal of couple and relationship therapy,0,0
stress and health,0,0
international journal of sport and exercise psychology,0,0
social issues and policy review,0,0
international journal for the advancement of counselling,0,0
psychnology journal,0,0
ppmp psychotherapie psychosomatik medizinische psychologie,0,0
pastoral psychology,0,0
families systems and health,0,0
mental health and physical activity,0,0
international journal of aviation psychology,0,0
journal of neuroscience psychology and economics,0,0
journal of feminist family therapy,0,0
counselling psychology quarterly,0,0
forensische psychiatrie psychologie kriminologie,0,0
zeitschrift fur arbeits- und organisationspsychologie,0,0
groupwork,0,0
journal of organizational behavior management,0,0
journal of police and criminal psychology,0,0
ansiedad y estres,0,0
ecopsychology,0,0
journal of consumer behaviour,0,0
zeitschrift fur personalpsychologie,0,0
journal of workplace behavioral health,0,0
acta neuropsychologica,0,0
journal of imagery research in sport and physical activity,0,0
journal of cognitive and behavioral psychotherapies,0,0
revista de psicologia del deporte,0,0
zeitschrift fur gesundheitspsychologie,0,0
annales medico-psychologiques,0,0
tpm - testing psychometrics methodology in applied psychology,0,0
irish journal of psychological medicine,0,0
suchttherapie,0,0
european journal of psychology applied to legal context,0,0
journal of investigative psychology and offender profiling,0,0
journal of forensic practice,0,0
american journal of forensic psychology,0,0
journal for geometry and graphics,0,0
zeitschrift fur evaluation,0,0
journal of police crisis negotiations,0,0
advances in consumer research,0,0
sprache stimme gehor,0,0
nature and science of sleep,0,0
australasian journal of disaster and trauma studies,0,0
gruppendynamik und organisationsberatung,0,0
zeitschrift fur sportpsychologie,0,0
journal of spirituality in mental health,0,0
psihologijske teme,0,0
counselling and psychotherapy research,0,0
revue francaise de psychosomatique,0,0
journal of turkish science education,0,0
champ psychosomatique,0,0
jung journal culture and psyche,0,0
