journal of abnormal psychology,0,0
cognitive psychology,0,0
development and psychopathology,0,0
child development,0,0
journal of educational psychology,0,0
developmental science,0,0
developmental review,0,0
cognition,0,0
monographs of the society for research in child development,0,0
learning and instruction,0,0
current directions in psychological science,0,0
developmental psychology,0,0
journal of child psychology and psychiatry and allied disciplines,0,0
journal of the american academy of child and adolescent psychiatry,0,0
human communication research,0,0
journal of school psychology,0,0
decision support systems,0.939995202358,2480
journal of abnormal child psychology,0,0
reading research quarterly,0,0
educational psychologist,0,0
journal of clinical child and adolescent psychology,0,0
educational psychology review,0,0
psychonomic bulletin and review,0,0
journal of the learning sciences,0,0
intelligence,0.99756097561,112
psychosomatic medicine,0,0
behaviour research and therapy,0,0
behavior research methods,0,0
exceptional children,0,0
early childhood research quarterly,0,0
journal of autism and developmental disorders,0,0
social cognition,0,0
psychophysiology,0,0
contemporary educational psychology,0,0
child abuse and neglect,0,0
clinical child and family psychology review,0,0
cortex a journal devoted to the study of the nervous system and behavior,0,0
journal of experimental child psychology,0,0
cognition and instruction,0,0
social development,0,0
school psychology review,0,0
journal of educational measurement,0,0
journal of research on adolescence,0,0
journal of pediatric psychology,0,0
acta psychologica,0,0
consciousness and cognition,0,0
brain and cognition,0,0
developmental disabilities research reviews,0,0
cognitive neuropsychology,0,0
child maltreatment,0,0
cognition and emotion,0,0
psychological research,0,0
research in developmental disabilities,0,0
psychology of women quarterly,0,0
british journal of educational psychology,0,0
developmental neuropsychology,0,0
american journal of speech-language pathology,0,0
cognitive development,0,0
journal of child language,0,0
journal of emotional and behavioral disorders,0,0
journal of cognition and development,0,0
kindheit und entwicklung,0,0
school psychology quarterly,0,0
infancy,0,0
advances in child development and behavior,0,0
public understanding of science,0,0
international journal of behavioral development,0,0
merrill-palmer quarterly,0,0
genetic social and general psychology monographs,0,0
aggressive behavior,0,0
american journal on intellectual and developmental disabilities,0,0
autism,0,0
journal of attention disorders,0,0
journal of developmental and behavioral pediatrics,0,0
journal of youth and adolescence,0,0
journal of experimental education,0,0
journal of early adolescence,0,0
measurement and evaluation in counseling and development,0,0
family relations,0,0
american journal of orthopsychiatry,0,0
learning and individual differences,0,0
applied cognitive psychology,0,0
theory and decision,0,0
child development perspectives,0,0
journal of adolescence,0,0
psychology of learning and motivation - advances in research and theory,0,0
youth justice,0,0
journal of applied developmental psychology,0,0
behavior modification,0,0
personal relationships,0,0
developmental psychobiology,0,0
journal of positive behavior interventions,0,0
journal of early intervention,0,0
youth violence and juvenile justice,0,0
attachment and human development,0,0
journal of social and personal relationships,0,0
instructional science,0,0
applied psychology,0,0
british journal of developmental psychology,0,0
european child and adolescent psychiatry,0,0
clinical neuropsychologist,0,0
infant behavior and development,0,0
brain injury,0,0
applied measurement in education,0,0
journal of adolescent research,0,0
behaviour and information technology,0,0
psychoanalytic quarterly,0,0
children and youth services review,0,0
international journal of early years education,0,0
sex roles a journal of research,0,0
new directions for child and adolescent development,0,0
human development,0,0
child neuropsychology,0,0
research in autism spectrum disorders,0,0
journal of applied research in intellectual disabilities,0,0
creativity research journal,0,0
applied developmental science,0,0
child psychiatry and human development,0,0
learning disabilities research and practice,0,0
death studies,0,0
early education and development,0,0
child care health and development,0,0
education and treatment of children,0,0
reading psychology,0,0
educational psychology,0,0
aphasiology,0,0
childhood,0,0
journal of research in reading,0,0
dyslexia,0,0
psychology and psychotherapy theory research and practice,0,0
infant and child development,0,0
gifted child quarterly,0,0
infants and young children,0,0
social indicators research,0,0
educational and psychological measurement,0,0
school psychology international,0,0
international journal of aging and human development,0,0
anxiety stress and coping,0,0
cognitive linguistics,0,0
journal of behavioral education,0,0
journal of creative behavior,0,0
european journal of special needs education,0,0
parenting,0,0
mind brain and education,0,0
behavorial disorders,0,0
infant mental health journal,0,0
journal of genetic psychology,0,0
european journal of psychology of education,0,0
psychology in the schools,0,0
psychology of aesthetics creativity and the arts,0,0
scandinavian journal of psychology,0,0
social psychology of education,0,0
journal of child and family studies,0,0
british journal of special education,0,0
canadian journal of school psychology,0,0
learning and motivation,0,0
behavioral interventions,0,0
talent development and excellence,0,0
emotional and behavioural difficulties,0,0
revista de psicodidactica,0,0
learning environments research,0,0
intellectual and developmental disabilities,0,0
australian journal of early childhood,0,0
american journal of psychology,0,0
international journal of psychology and psychological therapy,0,0
child language teaching and therapy,0,0
zeitschrift fur padagogische psychologie,0,0
consulting psychology journal,0,0
childrens health care,0,0
journal of research in childhood education,0,0
social anthropology,0,0
journal of developmental and physical disabilities,0,0
journal of constructivist psychology,0,0
early childhood education journal,0,0
psicologica,0,0
international review of research in mental retardation,0,0
journal of applied school psychology,0,0
american annals of the deaf,0,0
journal of early childhood research,0,0
mind culture and activity an international journal,0,0
mathematical thinking and learning,0,0
applied neuropsychology,0,0
zeitschrift fur entwicklungspsychologie und padagogische psychologie,0,0
journal of adult development,0,0
peabody journal of education,0,0
praxis der kinderpsychologie und kinderpsychiatrie,0,0
young,0,0
journal of public child welfare,0,0
review of cognitive linguistics,0,0
adolescence,0,0
international journal of disability development and education,0,0
psychoanalytic study of the child,0,0
english language teaching journal,0,0
early child development and care,0,0
european journal of developmental psychology,0,0
intervention in school and clinic,0,0
education and training in developmental disabilities,0,0
focus on exceptional children,0,0
psychiatrie de lenfant,0,0
infancia y aprendizaje,0,0
advances in school mental health promotion,0,0
volta review,0,0
person-centered and experiential psychotherapies,0,0
child care in practice,0,0
psychologie in erziehung und unterricht,0,0
vulnerable children and youth studies,0,0
contemporary issues in early childhood,0,0
journal of child and adolescent mental health,0,0
european early childhood education research journal,0,0
neuropsychiatrie de lenfance et de ladolescence,0,0
electronic journal of research in educational psychology,0,0
international journal of childrens spirituality,0,0
australian journal of educational and developmental psychology,0,0
journal of educational and psychological consultation,0,0
japanese journal of educational psychology,0,0
australian journal of learning difficulties,0,0
international journal of early childhood special education,0,0
australian journal of guidance and counselling,0,0
journal of humanistic counseling,0,0
north american journal of psychology,0,0
ljetopis socijalnog rada,0,0
journal of childrens services,0,0
tizard learning disability review,0,0
zeitschrift fur germanistische linguistik,0,0
young exceptional children,0,0
counselor education and supervision,0,0
enfances et psy,0,0
kinderanalyse,0,0
early childhood research and practice,0,0
international journal of early childhood,0,0
international journal of developmental disabilities,0,0
life span and disability,0,0
devenir,0,0
anae - approche neuropsychologique des apprentissages chez lenfant,0,0
adultspan journal,0,0
russian linguistics,0,0
psychology and education,0,0
enfance,0,0
hrvatska revija za rehabilitacijska istrazivanja,0,0
journal of education and human development,0,0
human ontogenetics,0,0
psychology of language and communication,0,0
spirale,0,0
saggi - child development and disabilities,0,0
learning disability today,0,0
ortho magazine,0,0
metiers de la petite enfance,0,0
