cancer cell,1
nature reviews cancer,1
journal of clinical oncology,1
plos genetics,1
biochimica et biophysica acta - reviews on cancer,1
cell host and microbe,1
cancer and metastasis reviews,1
journal of the national cancer institute,1
cancer research,1
drug resistance updates,1
oncogene,1
clinical cancer research,1
leukemia,1
seminars in cancer biology,1
breast cancer research,1
angiogenesis,1
neoplasia,1
molecular cancer research,1
oncologist,1
advances in cancer research,1
molecular cancer therapeutics,1
cancer,1
international journal of radiation oncology biology physics,1
carcinogenesis,1
international journal of cancer,1
genes chromosomes and cancer,1
british journal of cancer,1
molecular oncology,1
epigenetics,1
journal of mammary gland biology and neoplasia,1
breast cancer research and treatment,1
current cancer drug targets,1
clinical and experimental metastasis,1
european journal of cancer,1
neuro-oncology,1
apoptosis  an international journal on programmed cell death,1
cancer science,1
epigenomics,1
molecular cancer,1
seminars in radiation oncology,1
cancer letters,1
endocrine-related cancer,1
cancer prevention research,1
cellular oncology,1
stem cell reviews and reports,1
cancer immunology and immunotherapy,1
journal of immunotherapy,1
molecular carcinogenesis,1
differentiation,1
experimental hematology,1
journal of the national cancer institute monographs,1
current opinion in oncology,1
bmc cancer,1
cancer causes and control,1
cancer immunity,1
lung cancer,1
oncology,1
current medicinal chemistry - anti-cancer agents,1
cancer gene therapy,1
environmental carcinogenesis and ecotoxicology reviews,1
cancer microenvironment,1
cancer journal,1
cancer biology and therapy,1
international journal of oncology,1
virus research,1
cancer chemotherapy and pharmacology,1
journal of neuro-oncology,1
gastric cancer,1
oral oncology,1
nuclear medicine and biology,1
recent patents on anti-cancer drug discovery,1
journal of cancer research and clinical oncology,1
clinical breast cancer,1
advances in biological regulation,1
cancer cytopathology,1
international journal of hyperthermia,1
molecular imaging and biology,1
cancer cell international,1
prostate cancer and prostatic diseases,1
nitric oxide - biology and chemistry,1
cancer investigation,1
melanoma research,1
journal of carcinogenesis,1
clinical lung cancer,1
translational oncology,1
journal of hematology and oncology,1
future oncology,1
anti-cancer drugs,1
european journal of cancer prevention,1
american journal of clinical oncology,1
leukemia and lymphoma,1
familial cancer,1
tumor biology,1
nutrition and cancer,1
hematological oncology,1
cytotherapy,1
journal of experimental and clinical cancer research,1
current problems in cancer,1
japanese journal of clinical oncology,1
cancer epidemiology,1
oncology reports,1
leukemia research,1
cancer genetics and cytogenetics,1
cancer genomics and proteomics,1
pathology oncology research,1
anticancer research,1
journal of experimental therapeutics and oncology,1
cancer biotherapy and radiopharmaceuticals,1
journal of oral pathology and medicine,1
journal of biological regulators and homeostatic agents,1
clinical lymphoma myeloma and leukemia,1
infectious agents and cancer,1
technology in cancer research and treatment,1
targeted oncology,1
neoplasma,1
cancer biomarkers,1
cancer informatics,1
medical oncology,1
american journal of translational research,1
brain tumor pathology,1
recent results in cancer research,1
international journal of biological markers,1
oncology research,1
clinical and translational oncology,1
critical reviews in oncogenesis,1
breast disease,1
update on cancer therapeutics,1
oncology,1
supportive cancer therapy,1
iarc monographs on the evaluation of carcinogenic risks to humans,1
tumori,1
oncology research and treatment,1
eksperimentalnaya onkologiya,1
human cell,1
asian pacific journal of cancer prevention,1
progress in experimental tumor research,1
bulletin du cancer,1
cancer treatment and research,1
journal of cancer molecules,1
journal of buon,1
cancer therapy,1
international journal of cancer research,1
european journal of cancer supplement,1
oncology reviews,1
molecular medicine reports,1
translational oncogenomics,1
current hematologic malignancy reports,1
breast cancer basic and clinical research,1
journal of the egyptian national cancer institute,1
current cancer therapy reviews,1
reports of practical oncology and radiotherapy,1
iranian journal of cancer prevention,1
journal of breast cancer,1
open clinical cancer journal,1
clinical and experimental medical letters,1
cancer forum,1
chinese journal of cancer research,1
japanese journal of cancer and chemotherapy,1
advances in gastrointestinal cancers,1
open cancer journal,1
journal of cell and molecular biology,1
advances in breast cancer,1
chinese journal of lung cancer,1
voprosy onkologii,1
nowotwory,1
gaceta mexicana de oncologia,1
biotherapy,1
breast cancer online,1
tumor research,1
onkologia polska,1
chinese journal of cancer biotherapy,1
tumor,1
turkish journal of cancer,1
chinese journal of clinical oncology,1
ecancermedicalscience,1
journal of leukemia and lymphoma,1
journal of dalian medical university,1
annals of cancer research and therapy,1
journal of practical oncology,1
