physiological reviews,1
nature reviews molecular cell biology,1
annual review of plant biology,1
molecular cell,1
annual review of genomics and human genetics,1
nature reviews genetics,1
nature structural and molecular biology,1
cell metabolism,1
trends in biochemical sciences,1
microbiology and molecular biology reviews,1
critical reviews in biochemistry and molecular biology,1
epigenetics and chromatin,1
embo journal,1
nature methods,1
current opinion in structural biology,1
plos genetics,1
cell host and microbe,1
molecular psychiatry,1
development,1
nature chemical biology,1
molecular biology and evolution,1
trends in molecular medicine,1
molecular and cellular biology,1
cell death and differentiation,1
molecular biology of the cell,1
human molecular genetics,1
oncogene,1
rna,1
structure,1
plos pathogens,1
traffic,1
cell research,1
embo reports,1
autophagy,1
science signaling,1
cellular and molecular life sciences,1
journal of biological chemistry,1
dna repair,1
bioinformatics,0.987581476572
molecular and cellular proteomics,1
molecular aspects of medicine,1
molecular microbiology,1
plos computational biology,1
international review of cell and molecular biology,1
briefings in bioinformatics,0.980602156834
cell division,1
faseb journal,1
developmental biology,1
biochemical journal,1
journal of molecular biology,1
biochimica et biophysica acta - molecular cell research,1
cell cycle,1
antioxidants and redox signaling,1
molecular cancer research,1
molecular therapy,1
molecular endocrinology,1
expert reviews in molecular medicine,1
cold spring harbor symposia on quantitative biology,1
ageing research reviews,1
chemistry and biology,1
molecular and cellular neurosciences,1
molecular brain,1
molecular plant,1
biochimica et biophysica acta - molecular basis of disease,1
journal of molecular and cellular cardiology,1
biochimica et biophysica acta - gene regulatory mechanisms,1
journal of bacteriology,1
current opinion in lipidology,1
molecular neurodegeneration,1
current molecular medicine,1
journal of investigative dermatology,1
dna research,1
biochimica et biophysica acta - molecular and cell biology of lipids,1
methods,1
epigenetics,1
laboratory investigation,1
american journal of respiratory cell and molecular biology,1
cell calcium,1
molecular medicine,1
cell communication and signaling,1
cell structure and function,1
febs letters,1
eukaryotic cell,1
frontiers in molecular neuroscience,1
molecular phylogenetics and evolution,1
mutation research - fundamental and molecular mechanisms of mutagenesis,1
histochemistry and cell biology,1
chembiochem  a european journal of chemical biology,1
biochemistry and cell biology,1
rna biology,1
acta biomaterialia,1
bmc systems biology,1
physical biology,1
biochimica et biophysica acta - general subjects,1
proteins structure function and genetics,1
bmc molecular biology,1
molecular biosystems,1
bmc bioinformatics,1
insect biochemistry and molecular biology,1
mitochondrion,1
journal of cellular biochemistry,1
immunome research,1
protein science,1
biological chemistry,1
genome medicine,1
bmc biochemistry,1
progress in biophysics and molecular biology,1
briefings in functional genomics and proteomics,1
molecular carcinogenesis,1
differentiation,1
current gene therapy,1
human gene therapy,1
gene therapy,1
molecular plant pathology,1
molecular and cellular endocrinology,1
febs journal,1
molecular membrane biology,1
iubmb life,1
experimental hematology,1
zoologica scripta,1
protein engineering design and selection,1
critical reviews in eukaryotic gene expression,1
current protein and peptide science,1
molecular and biochemical parasitology,1
molecular human reproduction,1
gene expression patterns,1
journal of experimental biology,1
proteomics,1
journal of molecular endocrinology,1
matrix biology,1
algorithms for molecular biology,1
experimental gerontology,1
pharmacogenetics and genomics,1
journal of nutritional biochemistry,1
journal of molecular evolution,1
genome dynamics,1
molecular immunology,1
international journal of biological sciences,1
biomedical microdevices,1
archives of biochemistry and biophysics,1
molecular genetics and metabolism,1
molecular genetics and genomics,1
cytokine,1
experimental dermatology,1
biochemical and biophysical research communications,1
methods in enzymology,1
brain research,1
infection genetics and evolution,1
biomicrofluidics,1
research in microbiology,1
journal of biological engineering,1
current opinion in molecular therapeutics,1
