ieee transactions on pattern analysis and machine intelligence,0.972621127209
journal of the american mathematical society,1
ieee signal processing magazine,1
molecular systems biology,1
applied and computational harmonic analysis,1
journal of econometrics,1
biometrika,1
communications on pure and applied mathematics,1
foundations and trends in communications and information theory,0.977580400365
siam review,0.958644441427
ieee transactions on wireless communications,0.984126610673
journal of the european mathematical society,1
international journal of robotics research,0.974269183546
mathematical finance,1
journal of numerical analysis industrial and applied mathematics,1
journal of computer and system sciences,0.953663616598
journal of informetrics,1
bulletin of the american mathematical society,1
journal des mathematiques pures et appliquees,1
handbook of differential equations evolutionary equations,1
foundations of computational mathematics,0.959558869269
journal of cryptology,0.958456597014
communications in partial differential equations,1
journal fur die reine und angewandte mathematik,1
ieee transactions on fuzzy systems,0.978887155572
dynamics of partial differential equations,1
siam journal on mathematical analysis,0.976732623609
combinatorics probability and computing,0.947790496978
international journal for numerical methods in engineering,1
computational mechanics,0.982491003121
transactions of the american mathematical society,1
calculus of variations and partial differential equations,1
international journal of approximate reasoning,0.962640254394
numerische mathematik,0.944913386896
journal of fourier analysis and applications,1
biology direct,1
siam journal on control and optimization,0.964901355773
biometrics,1.0
mathematics of computation,0.949156281046
archives of computational methods in engineering,1
random structures and algorithms,1
journal of mathematical imaging and vision,0.970175085179
ima journal of numerical analysis,1
siam journal of scientific computing,1
journal of nonlinear science,1
ieee signal processing letters,1
acm transactions on mathematical software,1
mathematics of control signals and systems,1
algorithmica,0.956764238777
bmc systems biology,1
annali di matematica pura ed applicata,1
ergodic theory and dynamical systems,1
mathematical models and methods in applied sciences,1
ieee transactions on vehicular technology,1
international journal of solids and structures,1
bmc bioinformatics,1
stochastic processes and their applications,1
mathematical modelling and numerical analysis,1
technometrics,0.987252985387
immunome research,1
inverse problems,1
nonlinear differential equations and applications,1
chaos,1.0
nonlinearity,1
communications in contemporary mathematics,1
advances in differential equations,1
control engineering practice,1
journal of mathematical analysis and applications,1
journal of applied logic,0.953746885543
computational statistics and data analysis,1
psychometrika,1
advances in computational mathematics,0.961004185082
journal of economic dynamics and control,1
discrete and continuous dynamical systems,1
operations research letters,0.963152817088
journal of approximation theory,0.964385335595
forum mathematicum,1
algorithms for molecular biology,1
bit numerical mathematics,1
discrete optimization,0.952223033343
reliability engineering and system safety,1
pervasive and mobile computing,0.96868712023
nonlinear analysis theory methods and applications,1
journal of complexity,0.953809688864
advances in calculus of variations,1
journal of fixed point theory and applications,1
match,1
chemical engineering science,1
journal of mathematical biology,1
international journal for numerical methods in fluids,1
journal of global optimization,0.970018393864
finite fields and their applications,0.956509818704
journal of non-newtonian fluid mechanics,1
set-valued and variational analysis,1
communications on pure and applied analysis,1
numerical linear algebra with applications,1
proceedings of the american mathematical society,1
communications in nonlinear science and numerical simulation,0.933333333333
nonlinear analysis real world applications,0.964100777975
journal of optimization theory and applications,0.975720111296
computational optimization and applications,0.965161327348
theoretical and applied fracture mechanics,1
designs codes and cryptography,0.957038139559
networks and heterogeneous media,1
international journal of nonlinear sciences and numerical simulation,1
journal of combinatorial optimization,0.970456350772
ieee international symposium on information theory - proceedings,1
journal of statistical planning and inference,1
journal of guidance control and dynamics,1
ieeeacm transactions on computational biology and bioinformatics,1
handbook of differential equations stationary partial differential equations,1
numerical methods for partial differential equations,1
journal of theoretical biology,1
engineering analysis with boundary elements,1
finite elements in analysis and design,0.982900380305
international journal of non-linear mechanics,1
discrete applied mathematics,0.963534381283
advances in applied mathematics,0.970238878984
applied numerical mathematics,0.958090119329
bayesian analysis,1
journal of mathematical fluid mechanics,1
journal of computational and applied mathematics,0.965837813162
multidimensional systems and signal processing,0.973266185812
communications in mathematical sciences,1
international journal of automation and computing,0.989637966715
nonlinear dynamics,1
ima journal management mathematics,1
advances in applied probability,1
applied mathematics and computation,0.977804447163
optimization methods and software,1
journal of intelligent transportation systems,1
journal of mathematical cryptology,1
applied mathematics letters,0.976216756486
european journal of applied mathematics,1
journal of industrial and management optimization,1
international journal for numerical methods in biomedical engineering,1
integral transforms and special functions,1
journal of mathematical economics,1
siam journal on applied mathematics,0.980968256901
studies in applied mathematics,0.975925925926
discrete and continuous dynamical systems - series s,1
international journal of structural stability and dynamics,1
journal of time series analysis,1
fixed point theory and applications,1
infinite dimensional analysis quantum probability and related topics,1
applied mathematical modelling,0.990683229814
optimization,0.994162466092
mathematics and computers in simulation,0.974018464094
journal of difference equations and applications,1
differential and integral equations,1
mathematical biosciences,1
numerical algorithms,0.963911814327
journal of mathematical psychology,0.976128774358
applied mathematics and optimization,0.987300018584
aequationes mathematicae,1
zeitschrift fur angewandte mathematik und physik,1
lifetime data analysis,1
acta mathematica sinica english series,1
international journal of bifurcation and chaos in applied sciences and engineering,1
measurement science and technology,1
journal of algebra and its applications,1
international journal of biomathematics,1
fixed point theory,1
discrete and continuous dynamical systems - series b,1
journal of statistical computation and simulation,0.98713306096
international journal of computational geometry and applications,1
journal of agricultural biological and environmental statistics,1
abstract and applied analysis,1
journal of mathematical chemistry,1
stochastic analysis and applications,1
journal of the franklin institute,0.998910675381
international journal of wavelets multiresolution and information processing,1
collectanea mathematica,1
annals of mathematics and artificial intelligence,0.947101393917
complex analysis and operator theory,1
stochastic models,1
journal of mechanics of materials and structures,1
international journal of circuit theory and applications,0.973957090453
mathematical inequalities and applications,1
zeitschrift fur analysis und ihre anwendung,1
journal of computational acoustics,1
applications of mathematics,1
asta advances in statistical analysis,1
quarterly of applied mathematics,0.978048383007
journal of inverse and ill-posed problems,1
advances in mathematics of communications,1
mathematical biosciences and engineering,1
journal of chemometrics,1
topological methods in nonlinear analysis,1
ecological informatics,1
journal of mathematical modelling and algorithms,0.983431253719
engineering optimization,1
ima journal of applied mathematics,1
applicable algebra in engineering communications and computing,1
informatica,0.976845390422
applied mathematical finance,1
journal of strain analysis for engineering design,1
international journal of applied mathematics and computer science,0.967397903176
theory in biosciences,1
journal of ship research,1
optimal control applications and methods,0.985633154767
utilitas mathematica,0.976482125479
circuits systems and signal processing,0.982154209826
handbook of differential equations ordinary differential equations,1
quarterly journal of mechanics and applied mathematics,1
inverse problems in science and engineering,1
pacific journal of optimization,1
mathematical medicine and biology,1
discussiones mathematicae - graph theory,1
isa transactions,1
journal of inequalities and applications,1
results in mathematics,1
bio systems,1
algebra colloquium,1
cryptography and communications,0.962575701313
journal of mathematical behavior,1
international journal of applied cryptography,0.968844838009
measurement journal of the international measurement confederation,1
nonlinear dynamics and systems theory,1
chinese annals of mathematics series b,1
international journal of numerical methods for heat and fluid flow,1
eurasia journal of mathematics science and technology education,1
microgravity science and technology,1
mathematics in computer science,1
scientific annals of computer science,1
journal of computational and nonlinear dynamics,1
journal of integral equations and applications,1
applicable analysis and discrete mathematics,1
advances in difference equations,1
zamm zeitschrift fur angewandte mathematik und mechanik,1
shuidonglixue yanjiu yu jinzhan  journal of hydrodynamics ser a,1
electronic journal of qualitative theory of differential equations,1
functional analysis and its applications,1
computational and mathematical methods in medicine,1
communications on applied nonlinear analysis,1
computational and applied mathematics,1
advances in applied clifford algebras,1
electronic notes in discrete mathematics,1
complex variables and elliptic equations,1
journal of applied mathematics and mechanics,1
applied and computational mathematics,1
bla tter der dgfvm,1
ima journal of mathematical control and information,1
control and cybernetics,1
communications in applied analysis,1
applied mathematics e - notes,1
hangkong xuebaoacta aeronautica et astronautica sinica,1
jixie gongcheng xuebaochinese journal of mechanical engineering,1
acta applicandae mathematicae,1
groups complexity cryptology,0.988304093567
acta biotheoretica,1
advances in data analysis and classification,0.966574231067
international journal of shape modeling,1
journal of mechanics,1
international journal of modelling identification and control,1
ricerche di matematica,1
dynamics of continuous discrete and impulsive systems series a mathematical analysis,1
acta scientiarum mathematicarum,1
applied mathematics and mechanics,1
lixue xuebaochinese journal of theoretical and applied mechanics,1
journal of applied measurement,1
applied sciences,1
indian journal of pure and applied mathematics,1
international journal of computer mathematics,0.977537727418
reliable computing,1
electrical engineering,1
japan journal of industrial and applied mathematics,1
jisuan lixue xuebaochinese journal of computational mechanics,1
advances in applied mathematics and mechanics,1
ieice transactions on fundamentals of electronics communications and computer sciences,0.975674200596
fractals,1
nonlinear dynamics psychology and life sciences,1
ieee vehicular technology conference,1
journal of applied mathematics and stochastic analysis,1
compel - the international journal for computation and mathematics in electrical and electronic engineering,1
logica universalis,1
computational and mathematical organization theory,1
jixie qiandujournal of mechanical strength,1
applicable analysis,1
australian journal of mathematical analysis and applications,1
international journal of biometrics,0.977941956305
hangkong dongli xuebaojournal of aerospace power,1
journal of applied mathematics and computing,0.958422199153
mathematical and computer modelling of dynamical systems,1
kyungpook mathematical journal,1
monte carlo methods and applications,1
jisuan wulichinese journal of computational physics,1
proceedings of spie - the international society for optical engineering,1
qinghua daxue xuebaojournal of tsinghua university,1
journal of inequalities in pure and applied mathematics,1
dynamics of continuous discrete and impulsive systems series b applications and algorithms,1
revista de la real academia de ciencias exactas fisicas y naturales - serie a matematicas,1
journal of optical technology a translation of opticheskii zhurnal,1
journal of mathematical sciences,1
transport theory and statistical physics,1
analysis in theory and applications,1
journal of grey system,1
dalian ligong daxue xuebaojournal of dalian university of technology,1
journal of interdisciplinary mathematics,1
international journal of mathematical education in science and technology,1
jiqirenrobot,1
acta mathematicae applicatae sinica,1
journal of analysis and applications,1
journal of applied mathematics and decision sciences,1.0
journal of modern dynamics,1
dongbei daxue xuebaojournal of northeastern university,1
chinese journal of electronics,1
economic computation and economic cybernetics studies and research,0.998999519
advances in mathematical physics,1
journal of computer and systems sciences international,0.952058531586
asian journal of mathematics,1
journal of applied analysis,1
journal of biological systems,1
upb scientific bulletin series a applied mathematics and physics,1
journal of japan industrial management association,1
model assisted statistics and applications,1
ieee international test conference tc,1
measurement techniques,1
international journal of mathematics and computers in simulation,1
differential equations and dynamical systems,1.0
nonlinear analysis modelling and control,1
ieee international conference on fuzzy systems,1
differential equations and nonlinear mechanics,1
communications of the korean mathematical society,1
fundamental and applied mathematics,1
mathematical communications,1
applied mathematics,1
bioinformatics and biology insights,1
handbook of numerical analysis,1
game studies,1
applied mathematics research express,1
international journal of computing science and mathematics,0.980440324308
international journal of applied mathematics and statistics,1
discrete mathematics and applications,1
applied mathematics and information sciences,1
journal of applied mathematics,1
mathematical and computational forestry and natural-resource sciences,1
international journal of pure and applied mathematics,1
international journal of simulation and process modelling,1
journal of institute of control robotics and systems,1
handbook of statistics,1
mathematical and computational applications,1
international journal of grid and utility computing,0.968509804337
international journal of advanced intelligence paradigms,0.974477632809
measurement and control,1
journal for geometry and graphics,1
gamm mitteilungen,1
mathematical methods in electromagnetic theory mmet conference proceedings,1
cryptologia,0.982956734396
applied mathematical sciences,1
neural parallel and scientific computations,1
journal of contemporary mathematical analysis,1
revista internacional de metodos numericos para calculo y diseno en ingenieria,1
american journal of mathematical and management sciences,0.979272973973
international journal of power and energy systems,1
analele stiintifice ale universitatii ovidius constanta seria matematica,1
international journal of mathematical models and methods in applied sciences,1
international journal of mathematical modelling and numerical optimisation,1
sid structural integrity and durability,1
international journal of agricultural and statistical sciences,1
journal of applied and industrial mathematics,1
iaeng international journal of applied mathematics,1
electronics and communications in japan,1
modeling simulation and applications,1
formalized mathematics,0.835570469799
memoirs of the american mathematical society,1
journal of online mathematics and its applications,1
mathematics and visualization,1
loci,1
qualitative theory of dynamical systems,1
dlr deutsches zentrum fur luft- und raumfahrt ev - forschungsberichte,1
