geometric and functional analysis,1
journal of algebraic geometry,1
geometry and topology,1
journal of differential geometry,1
journal of mathematical imaging and vision,0.970175085179
annales de linstitut fourier,1
computational geometry theory and applications,0.961037711933
journal of graph theory,0.950544177396
discrete and computational geometry,1
journal of noncommutative geometry,1
european journal of combinatorics,0.949507128465
journal of geometric analysis,1
transformation groups,1
journal of fixed point theory and applications,1
set-valued and variational analysis,1
proceedings of the annual symposium on computational geometry,1
electronic journal of combinatorics,1
soft computing,0.992377572388
communications in analysis and geometry,1
graphical models,0.971413907277
algebraic and geometric topology,1
topology and its applications,1
linear algebra and its applications,1
topology,1
fixed point theory and applications,1
hiroshima mathematical journal,1
annals of global analysis and geometry,1
journal of graph algorithms and applications,1
geometriae dedicata,1
mathematical physics analysis and geometry,1
international journal of computational geometry and applications,1
differential geometry and its applications,1
journal of geometry and physics,1
groups geometry and dynamics,1
advances in geometry,1
beitrage zur algebra und geometrie,1
journal of topology and analysis,1
journal of k-theory,1
symmetry integrability and geometry methods and applications sigma,1
journal of symplectic geometry,1
eurographics symposium on geometry processing,1
international journal of shape modeling,1
balkan journal of geometry and its applications,1
conformal geometry and dynamics,1
order,1
fractals,1
journal of geometry and symmetry in physics,1
rendiconti del seminario matematico dell universita di padovo,1
journal of geometry,1
applied general topology,1
funkcialaj ekvacioj,1
journal of mathematical physics analysis geometry,1
revista de la real academia de ciencias exactas fisicas y naturales - serie a matematicas,1
fundamental and applied mathematics,1
mathematical communications,1
journal for geometry and graphics,1
hacettepe journal of mathematics and statistics,1
mathematics and visualization,1
