annals of mathematics,1
annals of statistics,1
probability surveys,1
journal of the royal statistical society series b statistical methodology,1
biometrika,1
journal of the american statistical association,1
vital and health statistics series 13 data from the national health survey,1
journal of business and economic statistics,1
bioinformatics,0.987581476572
journal of machine learning research,1
biostatistics,1.0
probability theory and related fields,1
finance and stochastics,1
annals of probability,1
journal of informetrics,1
statistical science,1
statistics and computing,0.974646990704
combinatorics probability and computing,0.947790496978
journal of computational and graphical statistics,1
biometrics,1.0
electronic journal of probability,1
statistics in medicine,1
journal of statistical software,1
annals of applied probability,1
journal of mathematical imaging and vision,0.970175085179
multivariate behavioral research,1
statistics surveys,1
journal of the royal statistical society series a statistics in society,1
annals of applied statistics,1
vital and health statistics series 10 data from the national health survey,1
physical review e - statistical nonlinear and soft matter physics,1
stochastic processes and their applications,1
technometrics,0.987252985387
bernoulli,1
annales de linstitut henri poincare b probability and statistics,1
statistica sinica,1
journal of multivariate analysis,0.975973965769
scandinavian journal of statistics,1
computational statistics and data analysis,1
insurance mathematics and economics,1
statistical methods in medical research,1
international journal of game theory,0.979881388138
north american actuarial journal,1
test,1.0
journal of complexity,0.953809688864
electronic communications in probability,1
set-valued and variational analysis,1
annals of the institute of statistical mathematics,1
networks and heterogeneous media,1
pharmaceutical statistics,1
journal of statistical planning and inference,1
journal of applied probability,1
communications in analysis and geometry,1
oxford bulletin of economics and statistics,1
journal of biopharmaceutical statistics,1
journal of physics a mathematical and theoretical,1
journal of theoretical biology,1
bayesian analysis,1
probability in the engineering and informational sciences,0.959046112003
international journal of biostatistics,1
extremes,1
american statistician,1
australian and new zealand journal of statistics,1
british journal of mathematical and statistical psychology,1
advances in applied probability,1
physica a statistical mechanics and its applications,1
canadian journal of statistics,1
statistical applications in genetics and molecular biology,1
biometrical journal,1
international statistical review,1
metrika,1
journal of theoretical probability,1
journal of time series analysis,1
infinite dimensional analysis quantum probability and related topics,1
journal of nonparametric statistics,1
esaim - probability and statistics,1
stochastics,1
environmental and ecological statistics,1
mathematical biosciences,1
methodology and computing in applied probability,0.967927927928
environmetrics,1
scandinavian actuarial journal,1
journal of statistical computation and simulation,0.98713306096
journal of the royal statistical society series c applied statistics,1
journal of agricultural biological and environmental statistics,1
stochastic analysis and applications,1
communications in statistics - theory and methods,1
statistics and probability letters,1
open systems and information dynamics,1
stochastic models,1
statistical modelling,1
transactions on data privacy,0.971508793068
mathematical physics electronic journal,1
asta advances in statistical analysis,1
eurasip journal on bioinformatics and systems biology,0.962800724572
mathematical methods of statistics,1
empirical economics,1
computational statistics,0.977402901243
sequential analysis,1
quality and quantity,1
communications in statistics part b simulation and computation,1
theory in biosciences,1
mathematics and financial economics,1
utilitas mathematica,0.976482125479
vital and health statistics series 2 data evaluation and methods research,1
r journal,1
bio systems,1
measurement journal of the international measurement confederation,1
journal of intelligent and fuzzy systems,1
statistics,1.0
top,1
statistical methods and applications,1
statistical papers,1
statistical inference for stochastic processes,1
survey methodology,1
journal of statistical mechanics theory and experiment,1
journal of official statistics,1
theory of probability and its applications,1
metron,1
psicologica,1
statistical methodology,1
sort,1
journal of applied statistics,1
journal of applied mathematics and stochastic analysis,1
monte carlo methods and applications,1
journal of the korean statistical society,1
journal of mathematics and statistics,1
statistica neerlandica,1
journal of mathematical sciences,1
journal of statistics education,1
journal of applied mathematics and decision sciences,1.0
model assisted statistics and applications,1
pakistan journal of statistics,1
economie et statistique,1
significance,1
vital and health statistics ser 1 programs and collection procedures,1
sankhya the indian journal of statistics,1
handbook of statistics,1
random operators and stochastic equations,1
journal of probability and statistics,1
risk and decision analysis,1
journal of modern applied statistical methods,1
zeitschrift fur evaluation,1
hacettepe journal of mathematics and statistics,1
revista colombiana de estadistica,1
wiley interdisciplinary reviews computational statistics,1
international journal of agricultural and statistical sciences,1
statistics in biosciences,1
south african statistical journal,1
journal of applied statistical science,1
electronic journal of applied statistical analysis,1
asta wirtschafts- und sozialstatistisches archiv,1
