journal of applied psychology,1
personnel psychology,1
psychological medicine,1
journal of occupational health psychology,1
organizational behavior and human decision processes,1
work and stress,1
health psychology,1
leadership quarterly,1
psychotherapy and psychosomatics,1
accounting organizations and society,1
journal of consumer psychology,1
psychosomatic medicine,1
journal of organizational behavior,1
journal of managerial psychology,1
group and organization management,1
journal of vocational behavior,1
journal of sport and exercise psychology,1
journal of educational measurement,1
media psychology,1
psychology and marketing,1
human resource management review,1
journal of economic psychology,1
european journal of work and organizational psychology,1
journal of career assessment,1
cyberpsychology behavior and social networking,1
trauma violence and abuse,1
transportation research part f traffic psychology and behaviour,1
psychology of men and masculinity,1
psychology of sport and exercise,1
journal of environmental psychology,1
assessment,1
human-computer interaction,0.962831499601
sport psychologist,1
american journal of community psychology,1
journal of occupational and organizational psychology,1
body image,1
technological forecasting and social change,1
measurement and evaluation in counseling and development,1
european journal of psychological assessment,1
international journal of stress management,1
theory and decision,1
journal of black psychology the,1
journal of interpersonal violence,1
legal and criminological psychology,1
journal of behavioral decision making,1
group dynamics,1
journal of business and psychology,1
journal of positive behavior interventions,1
international journal of selection and assessment,1
human resource management,1
games and culture,1
journal of media psychology,1
applied psychology,1
journal of health psychology,1
journal of applied sport psychology,1
british journal of health psychology,1
judgment and decision making,1
human performance,1
small group research,1
journal of criminal justice,1
journal of applied behavioral science the,1
basic and applied social psychology,1
psychosomatics,1
applied developmental science,1
psychological services,1
counseling psychologist,1
international journal of offender therapy and comparative criminology,1
neuropsychological rehabilitation,1
journal of career development,1
journal of applied behavior analysis,1
human factors,0.991772092265
psychology and health,1
international review of sport and exercise psychology,1
journal of counseling and development,1
career development quarterly,1
international journal of behavioral medicine,1
scandinavian journal of management,1
personnel review,1
rehabilitation counseling bulletin,1
journal of psychosocial oncology,1
psychology of religion and spirituality,1
journal of mathematical behavior,1
psychology of aesthetics creativity and the arts,1
victims and offenders,1
applied psychophysiology biofeedback,1
international journal of sport psychology,1
organizational dynamics,1
revue europeene de psychologie appliquee,1
psychology health and medicine,1
philosophical psychology,1
journal of multicultural counseling and development,1
zeitschrift fur psychosomatische medizin und psychotherapie,1
journal of forensic psychology practice,1
journal of applied school psychology,1
behavioral medicine,1
journal of lgbt issues in counseling,1
travail humain,1
journal of employment counseling,1
british journal of guidance and counselling,1
applied and preventive psychology,1
occupational therapy in mental health,1
journal of couple and relationship therapy,1
stress and health,1
international journal of sport and exercise psychology,1
social issues and policy review,1
international journal for the advancement of counselling,1
psychnology journal,1
ppmp psychotherapie psychosomatik medizinische psychologie,1
pastoral psychology,1
families systems and health,1
mental health and physical activity,1
international journal of aviation psychology,1
journal of neuroscience psychology and economics,1
journal of feminist family therapy,1
counselling psychology quarterly,1
forensische psychiatrie psychologie kriminologie,1
zeitschrift fur arbeits- und organisationspsychologie,1
groupwork,1
journal of organizational behavior management,1
journal of police and criminal psychology,1
ansiedad y estres,1
ecopsychology,1
journal of consumer behaviour,1
zeitschrift fur personalpsychologie,1
journal of workplace behavioral health,1
acta neuropsychologica,1
journal of imagery research in sport and physical activity,1
journal of cognitive and behavioral psychotherapies,1
revista de psicologia del deporte,1
zeitschrift fur gesundheitspsychologie,1
annales medico-psychologiques,1
tpm - testing psychometrics methodology in applied psychology,1
irish journal of psychological medicine,1
suchttherapie,1
european journal of psychology applied to legal context,1
journal of investigative psychology and offender profiling,1
journal of forensic practice,1
american journal of forensic psychology,1
journal for geometry and graphics,1
zeitschrift fur evaluation,1
journal of police crisis negotiations,1
advances in consumer research,1
sprache stimme gehor,1
nature and science of sleep,1
australasian journal of disaster and trauma studies,1
gruppendynamik und organisationsberatung,1
zeitschrift fur sportpsychologie,1
journal of spirituality in mental health,1
psihologijske teme,1
counselling and psychotherapy research,1
revue francaise de psychosomatique,1
journal of turkish science education,1
champ psychosomatique,1
jung journal culture and psyche,1
