annual review of clinical psychology,1
bipolar disorders supplement,1
journal of abnormal psychology,1
journal of consulting and clinical psychology,1
clinical psychology review,1
journal of counseling psychology,1
psychotherapy and psychosomatics,1
journal of clinical child and adolescent psychology,1
behaviour research and therapy,1
behavior therapy,1
psychological assessment,1
journal of affective disorders,1
clinical child and family psychology review,1
journal of traumatic stress,1
journal of alzheimers disease,1
alzheimer disease and associated disorders,1
journal of substance abuse treatment,1
psychology of addictive behaviors,1
journal of the international neuropsychological society,1
addictive behaviors,1
journal of anxiety disorders,1
clinical psychology science and practice,1
comprehensive psychiatry,1
journal of personality disorders,1
political psychology,1
international journal of psychoanalysis,1
journals of gerontology - series b psychological sciences and social sciences,1
depression and anxiety,1
research in developmental disabilities,1
journal of behavior therapy and experimental psychiatry,1
assessment,1
journal of emotional and behavioral disorders,1
suicide and life-threatening behavior,1
cognitive behaviour therapy,1
journal of attention disorders,1
psychotherapy research,1
journal of psychosomatic research,1
british journal of clinical psychology,1
american journal on addictions,1
aggression and violent behavior,1
journal of marital and family therapy,1
cognitive therapy and research,1
behavior modification,1
journal of family violence,1
archives of clinical neuropsychology,1
journal of interpersonal violence,1
international psychogeriatrics,1
journal of personality assessment,1
journal of clinical psychology,1
archives of suicide research,1
psychopathology,1
journal of clinical and experimental neuropsychology,1
family process,1
journal of the american psychoanalytic association,1
journal of social and clinical psychology,1
clinical neuropsychologist,1
deviant behavior,1
behavioral sciences and the law,1
rehabilitation psychology,1
clinical psychology and psychotherapy,1
health psychology review,1
psychoanalytic quarterly,1
american journal of drug and alcohol abuse,1
journal of psychopathology and behavioral assessment,1
research in autism spectrum disorders,1
palliative and supportive care,1
eating behaviors,1
psychological services,1
death studies,1
european eating disorders review,1
psychology and psychotherapy theory research and practice,1
behavioural and cognitive psychotherapy,1
journal of clinical psychology in medical settings,1
mental health religion and culture,1
american journal of alzheimers disease and other dementias,1
anxiety stress and coping,1
international journal of clinical and health psychology,1
journal of psychoeducational assessment,1
psychotherapy,1
journal of addictive diseases,1
journal of sex and marital therapy,1
behavorial disorders,1
journal of psychosomatic obstetrics and gynaecology,1
journal of genetic psychology,1
psychoanalytic dialogues,1
journal of gay and lesbian mental health,1
eating disorders,1
journal of cognitive psychotherapy an international quarterly,1
cognitive and behavioral practice,1
journal of forensic psychiatry and psychology,1
behavioral interventions,1
sexual addiction and compulsivity,1
psychoanalytic psychology,1
emotional and behavioural difficulties,1
journal of child sexual abuse,1
psychology health and medicine,1
diagnostica,1
international journal of psychology and psychological therapy,1
journal of emotional abuse,1
behavior analyst,1
child language teaching and therapy,1
zeitschrift fur psychiatrie psychologie und psychotherapie,1
clinical child psychology and psychiatry,1
zeitschrift fur psychosomatische medizin und psychotherapie,1
sexual and relationship therapy,1
childrens health care,1
psyche,1
international journal of clinical and experimental hypnosis,1
journal of trauma and dissociation,1
psychological trauma theory research practice and policy,1
american journal of family therapy the,1
contemporary family therapy,1
international journal of group psychotherapy,1
journal of lgbt issues in counseling,1
zeitschrift fur kinder- und jugendpsychiatrie und psychotherapie,1
bulletin of the menninger clinic,1
eating and weight disorders,1
stress and health,1
verhaltenstherapie,1
sleep medicine clinics,1
journal of family therapy,1
psychoanalytic inquiry,1
journal of child psychotherapy,1
journal of aggression maltreatment and trauma,1
journal of contemporary psychotherapy,1
ppmp psychotherapie psychosomatik medizinische psychologie,1
contemporary psychoanalysis,1
international forum of psychoanalysis,1
zeitschrift fur klinische psychologie und psychotherapie,1
american journal of psychotherapy,1
child and family behavior therapy,1
journal of family psychotherapy,1
forum der psychoanalyse,1
journal of rehabilitation,1
neuropsychiatrie,1
behaviour change,1
journal of rational - emotive and cognitive - behavior therapy,1
intervention in school and clinic,1
journal of health care chaplaincy,1
counselling psychology quarterly,1
arts in psychotherapy,1
clinical gerontologist,1
international journal of play therapy,1
psychodynamic psychiatry,1
british journal of psychotherapy,1
journal of psychotherapy integration,1
person-centered and experiential psychotherapies,1
group analysis,1
journal of applied biobehavioral research,1
therapeutic communities the international journal for therapeutic and supportive organizations,1
psychotherapeut,1
clinical case studies,1
clinical supervisor the,1
clinical psychologist,1
psychoanalytic review,1
journal of child and adolescent mental health,1
gruppenpsychotherapie und gruppendynamik,1
journal de therapie comportementale et cognitive,1
art therapy,1
clinical psychology forum,1
journal of analytical psychology,1
psicoterapia e scienze umane,1
psychodynamic practice,1
therapie familiale,1
journal of neurotherapy,1
familiendynamik,1
psychotropes,1
ricerca in psicoterapia,1
psychoanalytic psychotherapy,1
journal of creativity in mental health,1
terapia psicologica,1
journal of groups in addiction and recovery,1
revue francaise de psychanalyse,1
counseling and values,1
psicologia conductual,1
contemporary hypnosis,1
body movement and dance in psychotherapy,1
journal of college student psychotherapy,1
tizard learning disability review,1
cahiers critiques de therapie familiale et de pratiques de reseaux,1
revue de psychotherapie psychanalytique de groupe,1
travailler,1
ethical human psychology and psychiatry,1
revista argentina de clinica psicologica,1
revista latinoamericana de psicopatologia fundamental,1
salud mental,1
counselor education and supervision,1
american journal of psychoanalysis,1
scandinavian psychoanalytic review,1
japanese journal of neuropsychopharmacology,1
mental health in family medicine,1
internet journal of mental health,1
sante mentale au quebec,1
australian journal of clinical and experimental hypnosis,1
psychiatria i psychologia kliniczna,1
psycho-oncologie,1
mental health aspects of developmental disabilities,1
zeitschrift fur medizinische psychologie,1
archives of psychiatry and psychotherapy,1
psicooncologia,1
psychotherapies,1
sleep and hypnosis,1
psihologijske teme,1
avances en psicologia latinoamericana,1
counselling and psychotherapy research,1
postepy psychiatrii i neurologii,1
journal of infant child and adolescent psychotherapy,1
journal of cancer pain and symptom palliation,1
cahiers de psychologie clinique,1
adhd attention deficit and hyperactivity disorders,1
connexions,1
psychoterapia,1
giornale italiano di psicopatologia,1
topique,1
psicoterapia cognitiva e comportamentale,1
revue francaise de psychosomatique,1
journal of addictions and offender counseling,1
japanese journal of psychopharmacology,1
champ psychosomatique,1
rorschachiana,1
neurologia-neurocirugia psiquiatria,1
psicologia clinica,1
advances in special education,1
australian journal of clinical hypnotherapy and hypnosis,1
international journal of psychosocial rehabilitation,1
gestalt,1
cliniques mediterraneennes,1
learning disability today,1
savoirs et clinique,1
imaginaire et inconscient,1
etudes sur la mort,1
figures de la psychanalyse,1
essaim,1
