annual review of clinical psychology, Inc."
bipolar disorders supplement,-
journal of abnormal psychology,1.975
journal of consulting and clinical psychology,2.881
clinical psychology review,3.757
journal of counseling psychology,2.293
psychotherapy and psychosomatics,1.608
journal of clinical child and adolescent psychology,1.428
behaviour research and therapy,1.77
behavior therapy,1.879
psychological assessment,1.498
journal of affective disorders,1.39
clinical child and family psychology review,2.363
journal of traumatic stress,1.236
journal of alzheimers disease,0.995
alzheimer disease and associated disorders,0.892
journal of substance abuse treatment,1.086
psychology of addictive behaviors,1.344
journal of the international neuropsychological society,-
addictive behaviors,1.358
journal of anxiety disorders,1.524
clinical psychology science and practice,1.327
comprehensive psychiatry, Ltd."
journal of personality disorders,1.457
political psychology,1.423
international journal of psychoanalysis,1.594
journals of gerontology - series b psychological sciences and social sciences,1.347
depression and anxiety,1.702
research in developmental disabilities,1.183
journal of behavior therapy and experimental psychiatry,1.14
assessment,1.391
journal of emotional and behavioral disorders,1.122
suicide and life-threatening behavior,0.884
cognitive behaviour therapy,0.944
journal of attention disorders,1.02
psychotherapy research,1.776
journal of psychosomatic research,1.375
british journal of clinical psychology,1.274
american journal on addictions,0.756
aggression and violent behavior,1.634
journal of marital and family therapy,1.915
cognitive therapy and research,0.777
behavior modification,1.115
journal of family violence,0.776
archives of clinical neuropsychology,0.83
journal of interpersonal violence,1.171
international psychogeriatrics,0.904
journal of personality assessment,1.008
journal of clinical psychology,1.274
archives of suicide research,0.838
psychopathology,0.791
journal of clinical and experimental neuropsychology,0.9
family process,1.648
journal of the american psychoanalytic association,1.024
journal of social and clinical psychology,0.939
clinical neuropsychologist,0.742
deviant behavior,0.858
behavioral sciences and the law,0.87
rehabilitation psychology,1.078
clinical psychology and psychotherapy,1.696
health psychology review, Taylor & Francis Group"
psychoanalytic quarterly,1.18
american journal of drug and alcohol abuse,0.793
journal of psychopathology and behavioral assessment,0.888
research in autism spectrum disorders,1.102
palliative and supportive care,0.447
eating behaviors,0.741
psychological services,0.916
death studies,1.019
european eating disorders review,1.103
psychology and psychotherapy theory research and practice,-
behavioural and cognitive psychotherapy,0.909
journal of clinical psychology in medical settings,0.589
mental health religion and culture,-
american journal of alzheimers disease and other dementias,0.789
anxiety stress and coping,-
international journal of clinical and health psychology,1.078
journal of psychoeducational assessment,1.214
psychotherapy,1.924
journal of addictive diseases,0.821
journal of sex and marital therapy,0.845
behavorial disorders,-
journal of psychosomatic obstetrics and gynaecology,0.895
journal of genetic psychology,0.477
psychoanalytic dialogues, Inc."
journal of gay and lesbian mental health,0.288
eating disorders,0.98
journal of cognitive psychotherapy an international quarterly,0.61
cognitive and behavioral practice,0.831
journal of forensic psychiatry and psychology,0.662
behavioral interventions,0.695
sexual addiction and compulsivity,0.773
psychoanalytic psychology,1.308
emotional and behavioural difficulties,0.522
journal of child sexual abuse,0.801
psychology health and medicine,-
diagnostica, KG"
international journal of psychology and psychological therapy,0.772
journal of emotional abuse,-
behavior analyst,0.825
child language teaching and therapy,0.882
zeitschrift fur psychiatrie psychologie und psychotherapie,-
clinical child psychology and psychiatry,1.029
zeitschrift fur psychosomatische medizin und psychotherapie,-
sexual and relationship therapy,0.424
childrens health care,0.396
psyche,-
international journal of clinical and experimental hypnosis,0.48
journal of trauma and dissociation,0.74
psychological trauma theory research practice and policy,-
american journal of family therapy the,-
contemporary family therapy,0.469
international journal of group psychotherapy,0.384
journal of lgbt issues in counseling,0.654
zeitschrift fur kinder- und jugendpsychiatrie und psychotherapie,-
bulletin of the menninger clinic,0.219
eating and weight disorders,0.41
stress and health,0.685
verhaltenstherapie,0.234
sleep medicine clinics,0.16
journal of family therapy,1.057
psychoanalytic inquiry, Inc."
journal of child psychotherapy,0.841
journal of aggression maltreatment and trauma,-
journal of contemporary psychotherapy,0.775
ppmp psychotherapie psychosomatik medizinische psychologie,0.462
contemporary psychoanalysis,0.392
international forum of psychoanalysis,0.473
zeitschrift fur klinische psychologie und psychotherapie,-
american journal of psychotherapy,1.115
child and family behavior therapy,0.611
journal of family psychotherapy,0.348
forum der psychoanalyse,0.36
journal of rehabilitation,0.587
neuropsychiatrie,0.166
behaviour change,0.24
