Journal,NLIQ,Papers
ieee transactions on cloud computing,0,8
acm transactions on asian and low-resource language information processing,1,12
acm transactions on parallel computing,1,29
ieee circuits and systems magazine,0.998376623,56
acm transactions on economics and computation,0.994430693,60
journal of data and information quality,0.992891882,95
acm transactions on computation theory,0.997024793,98
acm transactions on interactive intelligent systems,0.996808753,105
ieee embedded systems letters,0,113
acm transactions on accessible computing,0.988346033,113
acm transactions on management information systems,0.98616727,122
ieee transactions on affective computing,1,122
ieee transactions on network and service management,1,123
acm transactions on computing education,0.986533449,155
journal on computing and cultural heritage,0.987090367,155
ieee concurrency,0.997685185,197
acm transactions on the web,0.994942618,199
acm transactions on storage,0.985267768,210
ieee computer architecture letters,0.98245614,218
acm transactions on autonomous and adaptive systems,0.992485297,236
acm transactions on knowledge discovery from data,0.996613648,236
ieee transactions on learning technologies,1,236
ieee transactions on services computing,1,245
acm transactions on reconfigurable technology and systems,0.994376494,247
ieee transactions on haptics,1,271
journal of experimental algorithmics,0.983564646,281
acm journal on emerging technologies in computing systems,0.985533729,283
acm transactions on internet technology,0.993391273,290
acm transactions on applied perception,0.978441867,326
acm transactions on intelligent systems and technology,0.995997583,330
acm transactions on information and system security,0.98013721,388
ieee transactions on circuits and systems ii: express briefs,0.982995658,394
ieee distributed systems online,0.990977444,394
ieee computational intelligence magazine,0.966324201,414
acm transactions on sensor networks,0.98687237,434
acm transactions on multimedia computing communications and applications,0.989339291,443
acm transactions on architecture and code optimization,0.994614577,445
ieee transactions on dependable and secure computing,0.997497156,461
acm transactions on computational logic,0.989961944,469
acm transactions on software engineering and methodology,0.988054743,485
acm transactions on computer-human interaction,0.983393112,504
acm transactions on algorithms,0.992703933,511
acm transactions on computer systems,0.97570415,557
acm transactions on modeling and computer simulation,0.970058951,561
ieee communications letters,0.991907514,690
ieee wireless communications,0.978482446,728
acm transactions on information systems,0.97882233,737
acm transactions on embedded computing systems,0.993448254,805
acm transactions on design automation of electronic systems,0.990944251,824
ieee pervasive computing,0.978255308,838
ieee transactions on communications,0.990789305,857
ieee transactions on evolutionary computation,0.919573315,894
ieee/acm transactions on computational biology and bioinformatics,0.971781203,1021
acm transactions on database systems,0.946850906,1022
ieee transactions on information forensics and security,0.969676885,1061
ieee transactions on intelligent transportation systems,0.853982301,1121
acm transactions on programming languages and systems,0.971491748,1193
ieee network,0.988347458,1217
ieee transactions on robotics,0.931201827,1282
ieee multimedia,0.974781605,1326
acm transactions on graphics,0.952448294,1392
ieee security and privacy,0.962643678,1464
ieee transactions on mobile computing,0.987378803,1522
ieee intelligent systems,0.976602821,1531
ieee transactions on nanotechnology,1,1561
acm transactions on mathematical software,0.880186942,1576
ieee transactions on multimedia,0.967619849,1620
acm computing surveys,0.989546131,1622
ibm systems journal,0.953188758,1733
ieee transactions on fuzzy systems,0.86313516,1787
ieee annals of the history of computing,0.928945916,1839
ieee internet computing,0.967783057,1931
ieee transactions on visualization and computer graphics,0.971508248,2355
ieee/acm transactions on networking,0.943937514,2401
ieee transactions on knowledge and data engineering,0.976332307,3000
ieee transactions on circuits and systems for video technology,0.898729583,3014
journal of the acm,0.944809202,3020
ieee micro,0.968067868,3049
ieee transactions on parallel and distributed systems,0.96843678,3359
ieee transactions on education,1,3425
ibm journal of research and development,0.925925926,3626
ieee computer graphics and applications,0.965908443,3749
ieee transactions on wireless communications,0.919508449,3770
ieee transactions on software engineering,0.951320717,4092
ieee transactions on image processing,0.908131963,4876
ieee transactions on computer-aided design of integrated circuits and systems,0.943222045,4910
ieee journal on selected areas in communications,0.964337604,5188
ieee transactions on consumer electronics,0.958333333,5515
ieee transactions on pattern analysis and machine intelligence,0.892465632,5601
ieee spectrum,0.99985427,5944
ieee communications magazine,0.925213675,6575
ieee transactions on computers,0.905103145,9362
ieee transactions on signal processing,0.856540749,10326
ieee transactions on information theory,0.769677185,13015
