Journal,OCQ
acm transactions on computational logic,0.935407464
acm transactions on mathematical software,0.945278664
acm transactions on economics and computation,0.949685104
journal of the acm  communications,0.950770959
acm transactions on parallel computing,0.95112528
ieee transactions on cloud computing,0.951174291
acm transactions on algorithms,0.951459718
acm transactions on software engineering and methodology,0.952359107
acm transactions on modeling and computer simulation,0.95291965
acm transactions on programming languages and systems,0.953016446
acm transactions on autonomous and adaptive systems,0.953105351
acm transactions on internet technology,0.954539073
acm transactions on accessible computing,0.954803919
acm transactions on interactive intelligent systems,0.954941282
acm transactions on database systems,0.955116093
acm transactions on computer-human interaction,0.955421135
acm transactions on information and system security,0.95836814
acm transactions on computation theory,0.958464673
acm transactions on the web,0.95893101
acm transactions on information systems,0.959699412
acm journal on emerging technologies in computing systems,0.959881739
ieee transactions on affective computing,0.959985444
ieee concurrency,0.960893326
acm transactions on knowledge discovery from data,0.960928748
acm computing surveys,0.96095643
journal of experimental algorithmics,0.961219464
ieee transactions on learning technologies,0.96239115
acm transactions on computer systems,0.96255286
acm transactions on design automation of electronic systems,0.962640523
acm transactions on embedded computing systems,0.963170369
ieee intelligent systems,0.96328868
ieee transactions on services computing,0.963582707
ieee distributed systems online,0.963746541
acm transactions on intelligent systems and technology,0.963870613
acm transactions on multimedia computing communications and applications,0.964380855
acm transactions on reconfigurable technology and systems,0.964515654
acm transactions on computing education,0.964706052
ieee internet computing,0.965550075
ieee transactions on dependable and secure computing,0.965648821
acm transactions on applied perception,0.965663916
ieee multimedia,0.966289287
ieee transactions on knowledge and data engineering,0.966938495
ieee/acm transactions on computational biology and bioinformatics,0.967050467
ieee transactions on software engineering,0.967913715
journal of data and information quality,0.968468968
ieee/acm transactions on networking,0.968592754
acm transactions on asian and low-resource language information processing,0.96951708
acm transactions on sensor networks,0.969695906
acm transactions on architecture and code optimization,0.970022616
ieee pervasive computing,0.970382844
ieee transactions on parallel and distributed systems,0.970442955
ieee transactions on haptics,0.971033931
ieee computer graphics and applications,0.971908943
acm transactions on management information systems,0.972104404
ieee transactions on computers,0.972269455
ieee computer architecture letters,0.972458701
ieee transactions on circuits and systems ii: express briefs,0.972471013
ieee transactions on pattern analysis and machine intelligence,0.972772261
ieee transactions on mobile computing,0.973269191
ieee transactions on communications,0.974016997
acm transactions on storage,0.974858286
acm transactions on graphics,0.975893857
ieee transactions on visualization and computer graphics,0.976535813
ieee security and privacy,0.976579133
ieee communications letters,0.977086232
ieee micro,0.977151047
ieee computational intelligence magazine,0.978091923
ieee transactions on information forensics and security,0.978395153
ieee transactions on fuzzy systems,0.978674509
ieee circuits and systems magazine,0.978758397
ieee transactions on evolutionary computation,0.978803168
ieee embedded systems letters,0.978986362
journal on computing and cultural heritage,0.979319828
ieee transactions on multimedia,0.980225883
ieee transactions on robotics,0.98045699
ieee transactions on computer-aided design of integrated circuits and systems,0.982098593
ieee annals of the history of computing,0.983651953
ieee transactions on wireless communications,0.984432798
ieee transactions on image processing,0.984859294
ieee wireless communications,0.98527054
ieee transactions on circuits and systems for video technology,0.985912362
ieee transactions on intelligent transportation systems,0.986593166
ieee transactions on information theory,0.986778924
ieee transactions on network and service management,0.987731865
ieee network,0.987949495
ieee transactions on signal processing,0.987962042
ibm journal of research and development,0.988710172
ieee journal on selected areas in communications,0.989548171
ieee communications magazine,0.990787303
ieee transactions on nanotechnology,0.991341958
ibm systems journal,0.991746793
ieee spectrum,0.993764792
ieee transactions on education,0.993840811
ieee transactions on consumer electronics,0.994033865
