DCP,Journal,RIP,SNIP
1.086956522,acm journal on emerging technologies in computing systems,0.378787879,0.406938855
1,acm transactions on accessible computing,0.380952381,0.444852413
1.390342052,acm transactions on algorithms,1.291588785,1.084795475
1.41025641,acm transactions on applied perception,1.386554622,1.148111742
1.178082192,acm transactions on architecture and code optimization,0.186550976,0.184912893
1.184331797,acm transactions on autonomous and adaptive systems,0.578828829,0.570718594
1.38185654,acm transactions on computation theory,1.095317726,0.925598018
1.116883117,acm transactions on computational logic,0.934782609,0.977345586
1.111510791,acm transactions on computer systems,1.088028169,1.143067071
1.117021277,acm transactions on computer-human interaction,1.651685393,1.726677146
1,acm transactions on computing education,0.061173533,0.071434634
1.341232227,acm transactions on database systems,0.979238754,0.852569654
1.10543131,acm transactions on design automation of electronic systems,0.731501057,0.772731213
1.114537445,acm transactions on embedded computing systems,1.007968127,1.0560814
1.176271186,acm transactions on graphics,1.584474886,1.57297985
1,acm transactions on information and system security,0.1875,0.218950797
1.76993865,acm transactions on information systems,1.54691689,1.020596386
1.686222222,acm transactions on internet technology,1.212915601,0.839964694
1.361821585,acm transactions on knowledge discovery from data,3.4928,2.995013354
1.153284672,acm transactions on mathematical software,0.620825147,0.6286053
1.15,acm transactions on modeling and computer simulation,0.50273224,0.510486375
1.2,"acm transactions on multimedia computing, communications, and applications",0.180904523,0.176040842
1,acm transactions on programming languages and systems,0.140625,0.164213098
1.180722892,acm transactions on reconfigurable technology and systems,1.386792453,1.371540841
1.34,acm transactions on sensor networks,0.572649573,0.499033155
1.123786408,acm transactions on software engineering and methodology,1.234666667,1.282954358
1.417721519,acm transactions on storage,0.772413793,0.636215649
1.326086957,acm transactions on the web,0.85915493,0.756562378
1.050847458,ibm journal of research and development,0.613861386,0.682143737
1.374680307,ibm systems journal,1.452702703,1.234014581
1.715244487,ieee annals of the history of computing,1.317378498,0.896870618
1.655367232,ieee circuits and systems magazine,0.918015666,0.647591286
1.157024793,ieee communications letters,0.342298289,0.345467598
1.342281879,ieee communications magazine,0.912200684,0.793582212
1.312121212,ieee communications surveys & tutorials,2.165,1.926767012
1.04494382,ieee computational intelligence magazine,0.316326531,0.353498792
1.033333333,ieee computer architecture letters,0.632653061,0.714941378
1.985074627,ieee computer graphics and applications,1.303921569,0.767043315
1.25,ieee design & test,0.100574713,0.093955898
1.085714286,ieee distributed systems online,0.550724638,0.592330658
1.044776119,ieee embedded systems letters,1.458333333,1.629967043
1.192307692,ieee intelligent systems,1.173719376,1.14953232
1.111111111,ieee internet computing,0.909090909,0.955421659
1,ieee journal on selected areas in communications,0.155688623,0.181803456
1.113207547,ieee micro,1.035087719,1.085791086
1.296388543,ieee multimedia,1.749579832,1.575955091
1.058252427,ieee network,0.644970414,0.711698054
1.135135135,ieee pervasive computing,0.756756757,0.778491722
1.123123123,ieee software,1.16875,1.215176923
1.22147651,ieee spectrum,2.575471698,2.462163678
1.15920398,ieee transactions on circuits and systems for video technology,1.037861915,1.045502246
1.192771084,ieee transactions on circuits and systems ii: express briefs,1,0.979012317
1.039735099,ieee transactions on communications,3.829268293,4.039339103
1.166982922,ieee transactions on computer-aided design of integrated circuits and systems,1.507352941,1.416666667
1.145374449,ieee transactions on computers,1.413043478,1.353085554
1.025,ieee transactions on consumer electronics,0.602941176,0.64516129
1.333333333,ieee transactions on dependable and secure computing,0.2,0.164516129
1.117647059,ieee transactions on education,0.655172414,0.642936596
1.099009901,ieee transactions on evolutionary computation,1.132653061,1.130348914
1.081081081,ieee transactions on fuzzy systems,1.111111111,1.127240143
1,ieee transactions on haptics,0.555555556,0.609318996
1.096774194,ieee transactions on image processing,1.931818182,1.931818182
1,ieee transactions on information forensics and security,1.083333333,1.188172043
1.428571429,ieee transactions on information theory,0.454545455,0.348973607
1.034482759,ieee transactions on intelligent transportation systems,1.2,1.272258065
1.04964539,ieee transactions on knowledge and data engineering,1.78313253,1.863194714
1.120689655,ieee transactions on learning technologies,0.970149254,0.949446317
1.257142857,ieee transactions on mobile computing,0.556962025,0.485912617
1.068376068,ieee transactions on multimedia,1.358695652,1.394810659
1.042553191,ieee transactions on nanotechnology,0.576470588,0.606451613
1.126865672,ieee transactions on network and service management,1.572916667,1.530913978
1.105882353,ieee transactions on parallel and distributed systems,3.032258065,3.007284079
1.25,ieee transactions on pattern analysis and machine intelligence,1.557377049,1.366472766
1.141666667,ieee transactions on robotics,0.655502392,0.62972681
1.207692308,ieee transactions on services computing,1.341880342,1.218637993
1.036231884,ieee transactions on signal processing,2.102941176,2.225806452
1.0875,ieee transactions on software engineering,1.270072993,1.280904168
1.054878049,ieee transactions on visualization and computer graphics,2.109756098,2.193548387
1.125,ieee transactions on wireless communications,0.642857143,0.626728111
1.083333333,ieee wireless communications,2.900826446,2.936816849
1.088082902,ieee/acm transactions on computational biology and bioinformatics,1.707317073,1.720954629
1.176470588,ieee/acm transactions on networking,0.824742268,0.768872631
1.090225564,Journal,1.435643564,1.444267007
1.102564103,journal of data and information quality,1.303030303,1.296187683
1.051546392,journal of experimental algorithmics,1.457142857,1.519815668
1.034398034,journal of the acm,6.191176471,6.564516129
1.136585366,journal on computing and cultural heritage,2.240384615,2.16191067
