ieee transactions on network and service management,1.213
ieee embedded systems letters,1.453
ieee transactions on visualization and computer graphics,2.617
ieee transactions on circuits and systems ii: express briefs,1.634
ieee transactions on communications,2.252
ieee transactions on computer-aided design of integrated circuits and systems,1.698
ieee transactions on dependable and secure computing,3.267
ieee intelligent systems,3.166
ieee transactions on knowledge and data engineering,4.441
ieee spectrum,nan
ieee transactions on circuits and systems for video technology,3.693
ieee transactions on computers,2.307
ieee wireless communications,3.874
ieee micro,3.785
ieee circuits and systems magazine,2.05
ieee transactions on signal processing,3.31
ieee transactions on pattern analysis and machine intelligence,7.856
ieee software,2.46
ieee transactions on consumer electronics,1.379
ieee transactions on education,2.843
ieee distributed systems online,1.839
ieee pervasive computing,4.355
ieee computer graphics and applications,1.802
ieee transactions on mobile computing,4.66
ieee computational intelligence magazine,2.441
ieee transactions on robotics,3.695
ieee multimedia,2.201
ieee transactions on image processing,4.419
ieee transactions on information theory,3.378
ieee transactions on wireless communications,2.916
ieee transactions on fuzzy systems,2.488
ieee communications magazine,4.495
ieee transactions on evolutionary computation,4.883
ieee communications letters,1.722
ieee transactions on haptics,2.561
ieee transactions on intelligent transportation systems,4.347
ieee transactions on nanotechnology,0.987
ieee transactions on learning technologies,3.137
ieee transactions on information forensics and security,3.308
ieee transactions on multimedia,2.8
ieee computer architecture letters,1.473
ieee annals of the history of computing,0.277
ieee transactions on services computing,5.823
ieee journal on selected areas in communications,5.937
ieee network,3.36
ieee internet computing,4.502
ieee transactions on software engineering,6.205
ieee transactions on parallel and distributed systems,3.376
